rule,file,task_idx,step_id,step,status,old_action,new_action,old_text,new_text,old_relation,new_relation,marker,remove_tag,note
G2,00006-HkseAnWCgqk/tasks-island_2.json,23,1,Arrange the dining table.,OK,place_on,straighten,Place dining table on surface.,Straighten the dining table.,on,,;referent_grounding_v1:G2,,X=dining table
G1,00016-qk9eeNeR4vw/tasks-island_1.json,21,3,Arrange the flowers in the vase.,OK,place_in,place_in,Place flower in receptacle.,Place the flowers in the vase.,in,in,;referent_grounding_v1:G1,,X=flowers|Y=vase
G1,00016-qk9eeNeR4vw/tasks-island_1.json,21,4,Set the decorative bowl on the table.,OK,place_on,place_on,Place decorative bowl on surface.,Place the decorative bowl on the table.,on,on,;referent_grounding_v1:G1,,X=decorative bowl|Y=table
G2,00016-qk9eeNeR4vw/tasks-island_1.json,27,2,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00016-qk9eeNeR4vw/tasks-island_1.json,32,2,Arrange the patio chairs.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chairs.,on,,;referent_grounding_v1:G2,,X=patio chairs
G1,00016-qk9eeNeR4vw/tasks-island_1.json,41,5,Organize items on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the items on the shelf.,on,on,;referent_grounding_v1:G1,,X=items|Y=shelf
G2,00016-qk9eeNeR4vw/tasks-island_1.json,42,2,Arrange the patio chair for seating.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G2,00016-qk9eeNeR4vw/tasks-island_1.json,49,2,Arrange items inside the cabinet.,OK,place_in,straighten,Place cabinet in receptacle.,Straighten the items inside the cabinet.,in,,;referent_grounding_v1:G2,,X=items inside the cabinet
G1,00016-qk9eeNeR4vw/tasks-island_1.json,50,2,Organize the books on the shelf.,OK,place_in,place_on,Place shelf in receptacle.,Place the books on the shelf.,in,on,;referent_grounding_v1:G1,,X=books|Y=shelf
G2,00016-qk9eeNeR4vw/tasks-island_1.json,57,5,Arrange the vase centerpiece.,OK,place_on,straighten,Place vase on surface.,Straighten the vase centerpiece.,on,,;referent_grounding_v1:G2,,X=vase centerpiece
G2,00016-qk9eeNeR4vw/tasks-island_1.json,76,4,Set the tray.,OK,place_on,straighten,Place tray on surface.,Straighten the tray.,on,,;referent_grounding_v1:G2,,X=tray
G2,00016-qk9eeNeR4vw/tasks-island_1.json,78,3,Arrange the patio chair.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G1,00016-qk9eeNeR4vw/tasks-island_1.json,83,1,Organize the books on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the books on the shelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=shelf
G2,00016-qk9eeNeR4vw/tasks-island_1.json,84,3,Arrange the patio chair.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G4,00016-qk9eeNeR4vw/tasks-island_1.json,92,2,Fill it at the sink.,RESOLVED,fill,fill,Use the sink to fill a container.,Fill the cup at the sink.,at,at,;referent_grounding_v1:G4,,vessel=cup
G4,00016-qk9eeNeR4vw/tasks-island_1.json,93,2,Fill it with water at the tap.,RESOLVED,fill,fill,Use the tap to fill a container.,Fill the vase at the tap.,at,at,;referent_grounding_v1:G4,,vessel=vase
G1,00016-qk9eeNeR4vw/tasks-island_1.json,96,3,Organize the documents on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the documents on the shelf.,on,on,;referent_grounding_v1:G1,,X=documents|Y=shelf
G2,00016-qk9eeNeR4vw/tasks-island_1.json,101,6,Arrange the boxes.,OK,place_on,straighten,Place box on surface.,Straighten the boxes.,on,,;referent_grounding_v1:G2,,X=boxes
G2,00016-qk9eeNeR4vw/tasks-island_1.json,103,5,Arrange the patio chairs.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chairs.,on,,;referent_grounding_v1:G2,,X=patio chairs
G2,00016-qk9eeNeR4vw/tasks-island_1.json,105,4,Arrange the patio chairs.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chairs.,on,,;referent_grounding_v1:G2,,X=patio chairs
G2,00016-qk9eeNeR4vw/tasks-island_1.json,110,4,Set the tray with drinks.,OK,place_on,straighten,Place tray on surface.,Straighten the tray.,on,,;referent_grounding_v1:G2,,X=tray
G2,00016-qk9eeNeR4vw/tasks-island_1.json,114,4,Arrange the vase.,OK,place_on,straighten,Place vase on surface.,Straighten the vase.,on,,;referent_grounding_v1:G2,,X=vase
G2,00016-qk9eeNeR4vw/tasks-island_1.json,115,7,Arrange the closet mirror wall.,OK,place_on,straighten,Place closet mirror wall on surface.,Straighten the closet mirror wall.,on,,;referent_grounding_v1:G2,,X=closet mirror wall
G2,00016-qk9eeNeR4vw/tasks-island_1.json,117,5,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00016-qk9eeNeR4vw/tasks-island_1.json,123,2,Arrange the patio chair.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G2,00016-qk9eeNeR4vw/tasks-island_1.json,124,2,Set the toaster.,OK,place_in,straighten,Place toaster in receptacle.,Straighten the toaster.,in,,;referent_grounding_v1:G2,,X=toaster
G2,00016-qk9eeNeR4vw/tasks-island_1.json,126,2,Arrange the speaker.,OK,place_on,straighten,Place speaker on surface.,Straighten the speaker.,on,,;referent_grounding_v1:G2,,X=speaker
G2,00016-qk9eeNeR4vw/tasks-island_1.json,126,6,Position the sofa seat.,OK,place_on,reposition,Place sofa seat on surface.,Reposition the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00016-qk9eeNeR4vw/tasks-island_1.json,136,5,Arrange the patio chair.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G1,00016-qk9eeNeR4vw/tasks-island_1.json,142,4,Set the flower vase on the small table.,OK,place_on,place_on,Place flower vase on surface.,Place the flower vase on the small table.,on,on,;referent_grounding_v1:G1,,X=flower vase|Y=small table
G1,00016-qk9eeNeR4vw/tasks-island_1.json,144,4,Organize items in the basket.,OK,place_in,place_in,Place basket in receptacle.,Place the items in the basket.,in,in,;referent_grounding_v1:G1,,X=items|Y=basket
G2,00016-qk9eeNeR4vw/tasks-island_1.json,145,2,Arrange the patio chair for guests.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
G1,00016-qk9eeNeR4vw/tasks-island_1.json,150,5,Arrange the book on the nightstand.,OK,place_on,place_on,Place book on surface.,Place the book on the nightstand.,on,on,;referent_grounding_v1:G1,,X=book|Y=nightstand
G1,00017-oEPjPNSPmzL/tasks-island_1.json,13,2,Sort items into the basket.,OK,place_in,place_in,Place basket in receptacle.,Place the items into the basket.,in,in,;referent_grounding_v1:G1,,X=items|Y=basket
G2,00017-oEPjPNSPmzL/tasks-island_1.json,32,3,Arrange the rack.,OK,place_on,straighten,Place rack on surface.,Straighten the rack.,on,,;referent_grounding_v1:G2,,X=rack
G1,00017-oEPjPNSPmzL/tasks-island_1.json,34,2,Set the cup on the desk.,OK,place_in,place_on,Place cup in receptacle.,Place the cup on the desk.,in,on,;referent_grounding_v1:G1,,X=cup|Y=desk
G2,00017-oEPjPNSPmzL/tasks-island_1.json,41,3,Position the camera.,OK,place_on,reposition,Place camera on surface.,Reposition the camera.,on,,;referent_grounding_v1:G2,,X=camera
G2,00017-oEPjPNSPmzL/tasks-island_1.json,68,5,Set the camera.,OK,place_on,straighten,Place camera on surface.,Straighten the camera.,on,,;referent_grounding_v1:G2,,X=camera
G2,00017-oEPjPNSPmzL/tasks-island_1.json,84,7,Arrange the toothbrush.,OK,place_on,straighten,Place toothbrush on surface.,Straighten the toothbrush.,on,,;referent_grounding_v1:G2,,X=toothbrush
G1,00020-XYyR54sxe6b/tasks-island_0.json,1,3,Set the cup on the table.,OK,place_on,place_on,Place cup on surface.,Place the cup on the table.,on,on,;referent_grounding_v1:G1,,X=cup|Y=table
G1,00020-XYyR54sxe6b/tasks-island_0.json,10,2,Arrange the pillows on the sofa seat.,OK,place_on,place_on,Place sofa seat on surface.,Place the pillows on the sofa seat.,on,on,;referent_grounding_v1:G1,,X=pillows|Y=sofa seat
G2,00020-XYyR54sxe6b/tasks-island_0.json,13,3,Arrange the shelf.,OK,place_on,straighten,Place shelf on surface.,Straighten the shelf.,on,,;referent_grounding_v1:G2,,X=shelf
G1,00020-XYyR54sxe6b/tasks-island_0.json,14,2,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G1,00020-XYyR54sxe6b/tasks-island_0.json,50,4,Set the tray on the bedroom cabinet.,OK,place_on,place_on,Place cabinet on surface.,Place the tray on the bedroom cabinet.,on,on,;referent_grounding_v1:G1,,X=tray|Y=bedroom cabinet
G2,00020-XYyR54sxe6b/tasks-island_0.json,52,2,Arrange the plate from the living area.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G1,00020-XYyR54sxe6b/tasks-island_0.json,52,3,Set the cup on the dining table.,OK,place_on,place_on,Place cup on surface.,Place the cup on the dining table.,on,on,;referent_grounding_v1:G1,,X=cup|Y=dining table
G2,00020-XYyR54sxe6b/tasks-island_0.json,61,6,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00020-XYyR54sxe6b/tasks-island_0.json,86,3,Arrange the sofa seat.,OK,place_in,straighten,Place sofa seat in receptacle.,Straighten the sofa seat.,in,,;referent_grounding_v1:G2,,X=sofa seat
G1,00020-XYyR54sxe6b/tasks-island_0.json,92,3,Organize the clothes in the wardrobe.,OK,place_in,place_in,Place wardrobe in receptacle.,Place the clothes in the wardrobe.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=wardrobe
G1,00020-XYyR54sxe6b/tasks-island_0.json,95,2,Arrange the sofa seat in the living room.,OK,place_in,place_in,Place sofa seat in receptacle.,Place the sofa seat in the living room.,in,in,;referent_grounding_v1:G1,,X=sofa seat|Y=living room
G1,00020-XYyR54sxe6b/tasks-island_0.json,95,3,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G1,00020-XYyR54sxe6b/tasks-island_0.json,98,5,Set the flower vase on the dining table.,OK,place_on,place_on,Place flower vase on surface.,Place the flower vase on the dining table.,on,on,;referent_grounding_v1:G1,,X=flower vase|Y=dining table
G1,00020-XYyR54sxe6b/tasks-island_0.json,103,6,Set the cup on the table.,OK,place_on,place_on,Place cup on surface.,Place the cup on the table.,on,on,;referent_grounding_v1:G1,,X=cup|Y=table
G2,00020-XYyR54sxe6b/tasks-island_0.json,108,3,Arrange the sofa seat cushions.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat cushions.,on,,;referent_grounding_v1:G2,,X=sofa seat cushions
G1,00020-XYyR54sxe6b/tasks-island_0.json,109,4,Organize the items on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the items on the shelf.,on,on,;referent_grounding_v1:G1,,X=items|Y=shelf
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,3,3,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,13,3,Set the pitcher down.,OK,place_on,straighten,Place pitcher on surface.,Straighten the pitcher.,on,,;referent_grounding_v1:G2,,X=pitcher
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,16,2,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,49,3,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,50,3,Reposition the flowerpot.,OK,place_on,reposition,Place flowerpot on surface.,Reposition the flowerpot.,on,,;referent_grounding_v1:G2,,X=flowerpot
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,84,4,Arrange the shampoo.,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo.,on,,;referent_grounding_v1:G2,,X=shampoo
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,88,1,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,100,5,Arrange the flowerpot.,OK,place_on,straighten,Place flowerpot on surface.,Straighten the flowerpot.,on,,;referent_grounding_v1:G2,,X=flowerpot
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,106,4,Arrange the basket of something.,OK,place_on,straighten,Place basket of something on surface.,Straighten the basket of something.,on,,;referent_grounding_v1:G2,,X=basket of something
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,109,5,Arrange the clothes.,OK,place_on,straighten,Place clothes on surface.,Straighten the clothes.,on,,;referent_grounding_v1:G2,,X=clothes
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,123,3,Arrange the shampoo.,OK,place_on,straighten,Place shampoo on surface.,Straighten the shampoo.,on,,;referent_grounding_v1:G2,,X=shampoo
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,135,5,Arrange the decoration in the lounge.,OK,place_in,place_in,Place decoration in receptacle.,Place the decoration in the lounge.,in,in,;referent_grounding_v1:G1,,X=decoration|Y=lounge
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,141,5,Display the flower vase.,OK,place_on,straighten,Place flower vase on surface.,Straighten the flower vase.,on,,;referent_grounding_v1:G2,,X=flower vase
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,153,3,Arrange the flower vase.,OK,place_on,straighten,Place flower vase on surface.,Straighten the flower vase.,on,,;referent_grounding_v1:G2,,X=flower vase
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,177,5,Arrange the clothes.,OK,place_on,straighten,Place clothes on surface.,Straighten the clothes.,on,,;referent_grounding_v1:G2,,X=clothes
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,194,3,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,207,3,Arrange the flowerpot in the corner.,OK,place_in,place_in,Place flowerpot in receptacle.,Place the flowerpot in the corner.,in,in,;referent_grounding_v1:G1,,X=flowerpot|Y=corner
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,216,3,Arrange flowers in the flower vase.,OK,place_in,place_in,Place flower vase in receptacle.,Place the flowers in the flower vase.,in,in,;referent_grounding_v1:G1,,X=flowers|Y=flower vase
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,219,2,Arrange items in the kitchen lower cabinet.,OK,place_in,place_in,Place kitchen lower cabinet in receptacle.,Place the items in the kitchen lower cabinet.,in,in,;referent_grounding_v1:G1,,X=items|Y=kitchen lower cabinet
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,219,6,Set the pitcher on the counter.,OK,place_on,place_on,Place pitcher on surface.,Place the pitcher on the counter.,on,on,;referent_grounding_v1:G1,,X=pitcher|Y=counter
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,222,3,Organize clothes in the cabinet.,OK,place_in,place_in,Place cabinet in receptacle.,Place the clothes in the cabinet.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=cabinet
G2,00022-gmuS7Wgsbrx/tasks-island_0.json,224,4,Arrange the sofa seat.,OK,place_on,straighten,Place sofa seat on surface.,Straighten the sofa seat.,on,,;referent_grounding_v1:G2,,X=sofa seat
G1,00022-gmuS7Wgsbrx/tasks-island_0.json,231,1,Tidy the items in the case.,OK,place_in,place_in,Place case in receptacle.,Place the items in the case.,in,in,;referent_grounding_v1:G1,,X=items|Y=case
