file,task_idx,step_id,old_action,new_action,old_text,new_text,step_orig
00022-gmuS7Wgsbrx\tasks-island_0.json,273,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,290,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,306,4,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,342,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle for ambiance.
00022-gmuS7Wgsbrx\tasks-island_0.json,352,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,380,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,401,7,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00023-zepmXAdrpjR\tasks-island_0.json,38,3,attach,repair,Attach the kitchen shelf.,Repair the kitchen shelf.,Repair the kitchen shelf.
00023-zepmXAdrpjR\tasks-island_0.json,104,6,reposition,repair,Reposition the rack.,Repair the rack.,Repair the rack.
00023-zepmXAdrpjR\tasks-island_0.json,167,7,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00023-zepmXAdrpjR\tasks-island_0.json,169,4,reposition,repair,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,Repair the kitchen cabinet.
00031-Wo6kuutE9i7\tasks-island_0.json,14,3,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,42,5,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,59,3,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,73,5,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,83,5,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00031-Wo6kuutE9i7\tasks-island_0.json,91,5,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,108,3,reposition,repair,Reposition the fence.,Repair the fence.,Repair the fence.
00031-Wo6kuutE9i7\tasks-island_0.json,113,6,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00031-Wo6kuutE9i7\tasks-island_0.json,122,6,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00031-Wo6kuutE9i7\tasks-island_0.json,126,5,plug_in,charge,Plug in the laptop_computer.,Charge the laptop_computer.,Charge the laptop computer.
00031-Wo6kuutE9i7\tasks-island_0.json,129,5,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00033-oPj9qMxrDEa\tasks-island_0.json,150,1,open,unload,Open washing machine.,Unload washing machine.,Unload the washing machine.
00034-6imZUJGRUq4\tasks-island_0.json,10,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00034-6imZUJGRUq4\tasks-island_0.json,55,1,turn_on,brew,Turn on coffee maker.,Brew with coffee maker.,Brew coffee in the coffee maker.
00034-6imZUJGRUq4\tasks-island_0.json,61,4,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00034-6imZUJGRUq4\tasks-island_0.json,120,4,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew a beverage with the coffee maker.
00034-6imZUJGRUq4\tasks-island_0.json,134,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00034-6imZUJGRUq4\tasks-island_0.json,135,5,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew a coffee with the coffee maker.
00034-6imZUJGRUq4\tasks-island_0.json,158,6,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candles in the candle holder.
00034-6imZUJGRUq4\tasks-island_0.json,172,1,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle in the candle holder.
00034-6imZUJGRUq4\tasks-island_0.json,221,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00034-6imZUJGRUq4\tasks-island_0.json,256,1,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew coffee with the coffee maker.
00035-3XYAD64HpDr\tasks-island_1.json,119,5,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00035-3XYAD64HpDr\tasks-island_1.json,120,5,plug_in,charge,Plug in the tablet.,Charge the tablet.,Charge the tablet.
00043-Jfyvj3xn2aJ\tasks-island_2.json,6,3,tighten,repair,Tighten the kitchen cabinet.,Repair the loose kitchen cabinet door.,Repair the loose kitchen cabinet door.
00043-Jfyvj3xn2aJ\tasks-island_2.json,45,1,reposition,repair,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,Repair the kitchen cabinet.
00057-1UnKg1rAb8A\tasks-island_0.json,58,1,straighten,iron,Straighten items on the ironing board.,Iron items on the ironing board.,Iron the shirt on the ironing board.
00057-1UnKg1rAb8A\tasks-island_0.json,70,1,straighten,iron,Straighten items on the ironing board.,Iron items on the ironing board.,Iron the baby's clothes on the ironing board.
00059-kJxT5qssH4H\tasks-island_1.json,38,2,reposition,repair,Reposition the sink.,Repair the sink.,Repair the sink.
00064-gQgtJ9Stk5s\tasks-island_0.json,18,2,straighten,iron,Straighten the ironing board.,Iron the ironing board.,Iron on the ironing board.
00064-gQgtJ9Stk5s\tasks-island_1.json,5,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00081-5biL7VEkByM\tasks-island_1.json,169,2,straighten,iron,Straighten the clothes.,Iron the clothes.,Iron the clothes.
00087-YY8rqV6L6rf\tasks-island_2.json,137,4,reposition,repair,Reposition the telephone.,Repair the telephone.,Repair the telephone.
00096-6HRFAUDqpTb\tasks-island_0.json,80,2,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew a fresh pot using the coffee machine.
00096-6HRFAUDqpTb\tasks-island_0.json,88,3,attach,repair,Attach the stairs railing.,Repair the stairs railing.,Repair the stairs railing.
00096-6HRFAUDqpTb\tasks-island_0.json,122,4,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00096-6HRFAUDqpTb\tasks-island_1.json,28,1,plug_in,charge,Plug in the laptop.,Charge the laptop.,Charge the laptop.
00108-oStKKWkQ1id\tasks-island_0.json,144,2,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00108-oStKKWkQ1id\tasks-island_0.json,188,3,plug_in,charge,Plug in the laptop_computer.,Charge the laptop_computer.,Charge the laptop computer.
00109-GTV2Y73Sn5t\tasks-island_0.json,9,2,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew a fresh pot using the coffee machine.
00109-GTV2Y73Sn5t\tasks-island_0.json,163,1,tighten,repair,Tighten the pipe.,Repair the pipe.,Repair the pipe.
00109-GTV2Y73Sn5t\tasks-island_0.json,167,2,turn_on,brew,Turn on coffee machine.,Brew with coffee machine.,Brew coffee.
00109-GTV2Y73Sn5t\tasks-island_0.json,173,1,tighten,repair,Tighten the pipe.,Repair the pipe.,Repair the pipe.
00135-HeSYRw7eMtG\tasks-island_0.json,12,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,39,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,75,3,turn_on,light,Turn on the candle on the mantel.,Light the candle on the mantel.,Light the candle on the mantel.
00135-HeSYRw7eMtG\tasks-island_0.json,106,5,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,118,2,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00135-HeSYRw7eMtG\tasks-island_0.json,141,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,174,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,199,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,206,7,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,215,5,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00135-HeSYRw7eMtG\tasks-island_0.json,241,3,turn_on,light,Turn on the candle.,Light the candle.,Light the decorative candle.
00141-iigzG1rtanx\tasks-island_0.json,9,3,tighten,repair,Tighten the pipe.,Repair the pipe.,Repair the pipe.
00141-iigzG1rtanx\tasks-island_0.json,11,5,tighten,repair,Tighten the pipe.,Repair the pipe.,Repair the pipe.
00141-iigzG1rtanx\tasks-island_1.json,50,3,reposition,repair,Reposition the dresser.,Repair the dresser.,Repair the dresser.
00141-iigzG1rtanx\tasks-island_1.json,50,5,reposition,repair,Reposition the cabinet.,Repair the cabinet.,Repair the cabinet.
00149-UuwwmrTsfBN\tasks-island_0.json,19,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00149-UuwwmrTsfBN\tasks-island_0.json,50,3,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00149-UuwwmrTsfBN\tasks-island_0.json,68,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder for ambiance.
00149-UuwwmrTsfBN\tasks-island_0.json,85,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00149-UuwwmrTsfBN\tasks-island_0.json,89,3,reposition,repair,Reposition the cabinet.,Repair the cabinet.,Repair the cabinet.
00149-UuwwmrTsfBN\tasks-island_0.json,94,3,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00149-UuwwmrTsfBN\tasks-island_0.json,120,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00149-UuwwmrTsfBN\tasks-island_0.json,126,5,reposition,repair,Reposition the toaster.,Repair the toaster.,Repair the toaster.
00149-UuwwmrTsfBN\tasks-island_0.json,134,3,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00149-UuwwmrTsfBN\tasks-island_0.json,147,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00150-LcAd9dhvVwh\tasks-island_0.json,194,3,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00150-LcAd9dhvVwh\tasks-island_0.json,220,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00155-iLDo95ZbDJq\tasks-island_0.json,157,4,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00166-RaYrxWt5pR1\tasks-island_0.json,31,5,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00166-RaYrxWt5pR1\tasks-island_0.json,60,2,turn_on,light,Turn on the candle.,Light the candle.,Light the scented candle.
00166-RaYrxWt5pR1\tasks-island_0.json,67,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00166-RaYrxWt5pR1\tasks-island_0.json,73,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00166-RaYrxWt5pR1\tasks-island_0.json,85,4,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00166-RaYrxWt5pR1\tasks-island_0.json,90,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00166-RaYrxWt5pR1\tasks-island_0.json,107,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00168-bHKTDQFJxTw\tasks-island_0.json,8,4,reposition,repair,Reposition the toilet.,Repair the toilet.,Repair the toilet.
00168-bHKTDQFJxTw\tasks-island_0.json,11,2,reposition,repair,Reposition the toilet.,Repair the toilet.,Repair the toilet.
00168-bHKTDQFJxTw\tasks-island_0.json,17,1,reposition,repair,Reposition the machine.,Repair the machine.,Repair the machine.
00168-bHKTDQFJxTw\tasks-island_0.json,61,6,reposition,repair,Reposition the machine.,Repair the machine in the restroom area.,Repair the machine in the restroom area.
00168-bHKTDQFJxTw\tasks-island_0.json,85,3,reposition,repair,Reposition the machine.,Repair the machine.,Repair the machine.
00172-bB6nKqfsb1z\tasks-island_0.json,52,2,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00173-qZ4B7U6XE5Y\tasks-island_0.json,82,5,turn_on,brew,Turn on kettle.,Brew with kettle.,Brew tea using the kettle.
00177-VSxVP19Cdyw\tasks-island_0.json,118,1,open,unload,Open washing machine.,Unload washing machine.,Unload the washing machine.
00188-dQrLTxHvLXU\tasks-island_0.json,61,5,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00203-VoVGtfYrpuQ\tasks-island_0.json,16,2,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00210-j2EJhFEQGCL\tasks-island_0.json,36,2,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00210-j2EJhFEQGCL\tasks-island_0.json,77,2,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00210-j2EJhFEQGCL\tasks-island_0.json,102,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Adjust the guitar.
00210-j2EJhFEQGCL\tasks-island_0.json,145,3,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00217-qz3829g1Lzf\tasks-island_0.json,20,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00217-qz3829g1Lzf\tasks-island_0.json,95,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00217-qz3829g1Lzf\tasks-island_0.json,97,1,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00217-qz3829g1Lzf\tasks-island_0.json,126,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00217-qz3829g1Lzf\tasks-island_0.json,145,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00217-qz3829g1Lzf\tasks-island_0.json,165,4,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00234-nACV8wLu1u5\tasks-island_1.json,124,1,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00234-nACV8wLu1u5\tasks-island_1.json,135,3,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00238-j6fHrce9pHR\tasks-island_0.json,70,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular_telephone.
00238-j6fHrce9pHR\tasks-island_0.json,178,3,plug_in,charge,Plug in the laptop_computer.,Charge the laptop_computer.,Charge the laptop computer.
00238-j6fHrce9pHR\tasks-island_0.json,345,7,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone for the drive.
00238-j6fHrce9pHR\tasks-island_0.json,356,7,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone for the day.
00238-j6fHrce9pHR\tasks-island_0.json,362,5,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone for the flight.
00238-j6fHrce9pHR\tasks-island_0.json,365,5,turn_on,brew,Turn on kettle.,Brew with kettle.,Brew some tea in the kettle.
00238-j6fHrce9pHR\tasks-island_0.json,425,5,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00238-j6fHrce9pHR\tasks-island_0.json,429,2,attach,repair,Attach the handle.,Repair the handle.,Repair the handle.
00245-741Fdj7NLF9\tasks-island_0.json,62,1,straighten,iron,Straighten items on the ironing board.,Iron items on the ironing board.,Iron clothes on the ironing board.
00245-741Fdj7NLF9\tasks-island_0.json,66,4,reposition,repair,Reposition the sink.,Repair the sink.,Repair the sink.
00245-741Fdj7NLF9\tasks-island_0.json,97,5,reposition,repair,Reposition the drawer.,Repair the drawer.,Repair the drawer.
00250-U3oQjwTuMX8\tasks-island_0.json,37,3,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee in the coffee machine.
00250-U3oQjwTuMX8\tasks-island_0.json,53,2,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee in the coffee machine.
00250-U3oQjwTuMX8\tasks-island_0.json,136,5,reposition,repair,Reposition the sink.,Repair the sink.,Repair the sink.
00250-U3oQjwTuMX8\tasks-island_0.json,155,4,attach,repair,Attach the shelf.,Repair the shelf.,Repair the shelf.
00250-U3oQjwTuMX8\tasks-island_0.json,227,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00250-U3oQjwTuMX8\tasks-island_0.json,368,2,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00251-wsAYBFtQaL7\tasks-island_0.json,81,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00251-wsAYBFtQaL7\tasks-island_0.json,104,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00251-wsAYBFtQaL7\tasks-island_0.json,124,2,set_control,tune,Adjust the guitar in the study.,Tune the guitar in the study.,Tune the guitar in the study.
00251-wsAYBFtQaL7\tasks-island_0.json,192,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00251-wsAYBFtQaL7\tasks-island_0.json,285,5,attach,repair,Attach the garage door railing.,Repair the garage door railing.,Repair the garage door railing.
00251-wsAYBFtQaL7\tasks-island_0.json,368,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00251-wsAYBFtQaL7\tasks-island_0.json,377,5,reposition,repair,Reposition the vent.,Repair the vent.,Repair the vent.
00254-YMNvYDhK8mB\tasks-island_1.json,77,3,tighten,repair,Tighten the desk chair.,Repair the caster on the desk chair.,Repair the caster on the desk chair.
00254-YMNvYDhK8mB\tasks-island_1.json,78,5,plug_in,charge,Plug in the laptop.,Charge the laptop.,Charge the laptop before starting.
00254-YMNvYDhK8mB\tasks-island_1.json,149,5,reposition,repair,Reposition the keyboard.,Repair the keyboard.,Repair the keyboard.
00255-NGyoyh91xXJ\tasks-island_0.json,31,1,reposition,repair,Reposition the ventilation.,Repair the ventilation.,Repair the ventilation.
00255-NGyoyh91xXJ\tasks-island_0.json,38,1,reposition,repair,Reposition the ventilation.,Repair the ventilation.,Repair the ventilation.
00255-NGyoyh91xXJ\tasks-island_0.json,54,3,reposition,repair,Reposition the cabinet door.,Repair the cabinet door.,Repair the cabinet door.
00258-2Pc8W48bu21\tasks-island_0.json,47,4,open,unload,Open clothes dryer.,Unload clothes dryer.,Unload the clothes dryer.
00262-1xGrZPxG1Hz\tasks-island_1.json,31,1,straighten,iron,Straighten items on the iron board.,Iron items on the iron board.,Iron the clothes on the iron board.
00269-JNiWU5TZLtt\tasks-island_0.json,74,4,reposition,repair,Reposition the rack.,Repair the rack.,Repair the rack.
00269-JNiWU5TZLtt\tasks-island_0.json,144,6,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00272-kA2nG18hCAr\tasks-island_0.json,71,5,reposition,repair,Reposition the fireplace utensil.,Repair the fireplace utensil handle.,Repair the fireplace utensil handle.
00294-PPTLa8SkUfo\tasks-island_0.json,5,3,reposition,repair,Reposition the heater.,Repair the heater unit.,Repair the heater unit.
00294-PPTLa8SkUfo\tasks-island_0.json,23,3,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00294-PPTLa8SkUfo\tasks-island_0.json,38,1,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00294-PPTLa8SkUfo\tasks-island_0.json,53,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candles in the candle holder.
00294-PPTLa8SkUfo\tasks-island_0.json,58,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00294-PPTLa8SkUfo\tasks-island_0.json,69,4,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00294-PPTLa8SkUfo\tasks-island_0.json,114,5,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00294-PPTLa8SkUfo\tasks-island_0.json,133,1,turn_on,light,Turn on the candle holder in the dining area.,Light the candle holder in the dining area.,Light the candle holder in the dining area.
00294-PPTLa8SkUfo\tasks-island_0.json,138,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00294-PPTLa8SkUfo\tasks-island_0.json,144,4,reposition,repair,Reposition the heater.,Repair the heater in the bedroom.,Repair the heater in the bedroom.
00294-PPTLa8SkUfo\tasks-island_0.json,145,5,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00294-PPTLa8SkUfo\tasks-island_0.json,166,3,reposition,repair,Reposition the heater.,Repair the heater.,Repair the heater.
00294-PPTLa8SkUfo\tasks-island_0.json,181,2,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00294-PPTLa8SkUfo\tasks-island_0.json,188,1,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00294-PPTLa8SkUfo\tasks-island_0.json,202,5,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00294-PPTLa8SkUfo\tasks-island_0.json,209,6,attach,repair,Attach the railing.,Repair the railing.,Repair the railing.
00294-PPTLa8SkUfo\tasks-island_0.json,217,3,attach,repair,Attach the shelf.,Repair the shelf.,Repair the shelf.
00294-PPTLa8SkUfo\tasks-island_0.json,272,2,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00294-PPTLa8SkUfo\tasks-island_0.json,276,6,reposition,repair,Reposition the bench.,Repair the bench.,Repair the bench.
00294-PPTLa8SkUfo\tasks-island_0.json,285,6,turn_on,light,Turn on the candle holder.,Light the candle holder.,Light the candle holder.
00294-PPTLa8SkUfo\tasks-island_0.json,291,6,reposition,repair,Reposition the bench.,Repair the bench.,Repair the bench.
00294-PPTLa8SkUfo\tasks-island_0.json,292,2,turn_on,light,Turn on the candlestick.,Light the candlestick.,Light the candlestick.
00299-bdp1XNEdvmW\tasks-island_0.json,55,4,reposition,repair,Reposition the cabinet.,Repair the cabinet.,Repair the cabinet.
00299-bdp1XNEdvmW\tasks-island_0.json,73,4,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00299-bdp1XNEdvmW\tasks-island_0.json,95,1,straighten,iron,Straighten the iron board.,Iron the iron board.,Iron the clothes.
00299-bdp1XNEdvmW\tasks-island_0.json,112,1,straighten,iron,Straighten items on the iron board.,Iron items on the iron board.,Iron the work shirt on the iron board.
00299-bdp1XNEdvmW\tasks-island_0.json,112,6,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00304-X6Pct1msZv5\tasks-island_0.json,140,3,straighten,iron,Straighten the clothes.,Iron the clothes.,Iron the clothes.
00307-vDfkYo5VqEQ\tasks-island_0.json,84,2,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00307-vDfkYo5VqEQ\tasks-island_0.json,100,3,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00313-PE6kVEtrxtj\tasks-island_0.json,148,5,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00326-u9rPN5cHWBg\tasks-island_0.json,297,2,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew coffee using the coffee maker.
00326-u9rPN5cHWBg\tasks-island_0.json,310,3,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew coffee with the coffee maker.
00326-u9rPN5cHWBg\tasks-island_0.json,321,3,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew coffee with the coffee maker.
00326-u9rPN5cHWBg\tasks-island_0.json,341,6,start_machine,brew,Start the coffee_maker.,Brew with the coffee_maker.,Brew coffee with the coffee maker.
00326-u9rPN5cHWBg\tasks-island_0.json,370,2,straighten,iron,Straighten the jacket.,Iron the jacket.,Iron the jacket.
00327-xgLmjqzoAzF\tasks-island_0.json,16,1,open,unload,Open dishwasher.,Unload dishwasher.,Unload the dishwasher.
00327-xgLmjqzoAzF\tasks-island_0.json,143,1,straighten,iron,Straighten the ironing board.,Iron the ironing board.,Iron the clothes.
00327-xgLmjqzoAzF\tasks-island_0.json,150,1,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew a fresh pot of coffee in the coffee machine.
