file,task_idx,step_id,step,verdict,old_action,new_action,old_text,new_text,old_relation,new_relation,note
00143-5Kw4nGdqYtS/tasks-island_0.json,96,6,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00173-qZ4B7U6XE5Y/tasks-island_0.json,124,3,Hide things in the box.,G1_fix,place_in,place_in,Place box in receptacle.,Place the things in the box.,in,in,hide→place_in
00203-VoVGtfYrpuQ/tasks-island_0.json,155,2,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00205-NEVASPhcrxR/tasks-island_3.json,86,5,Put on the jewelry.,G2_tidy,place_on,straighten,Place the jewelry.,Straighten the jewelry.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00205-NEVASPhcrxR/tasks-island_3.json,96,3,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00238-j6fHrce9pHR/tasks-island_0.json,91,3,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00238-j6fHrce9pHR/tasks-island_0.json,147,1,Repot the plant in the flowerpot.,G1_fix,place_in,place_in,Place the flowerpot.,Place the plant in the flowerpot.,in,in,repot→place_in
00238-j6fHrce9pHR/tasks-island_0.json,156,1,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00250-U3oQjwTuMX8/tasks-island_0.json,80,1,Repot the plant in the flowerpot.,G1_fix,place_in,place_in,Place the flowerpot.,Place the plant in the flowerpot.,in,in,repot→place_in
00251-wsAYBFtQaL7/tasks-island_0.json,272,3,Fold items in the chest of drawers.,G1_fix,place_in,fold,Place chest of drawers in receptacle.,Fold the items in the chest of drawers.,in,in,fold保真
00254-YMNvYDhK8mB/tasks-island_1.json,187,4,Neatly arrange items in the cabinet.,G1_fix,place_in,place_in,Place cabinet in receptacle.,Place the items in the cabinet.,in,in,"副词前缀导致解析失败,手动G1"
00262-1xGrZPxG1Hz/tasks-island_1.json,45,1,Fold the clothes on the iron board.,G1_fix,place_on,fold,Place iron board on surface.,Fold the clothes on the iron board.,on,on,fold保真
00272-kA2nG18hCAr/tasks-island_0.json,49,2,Adjust the seat on the exercise bike.,G2_tidy,place_on,straighten,Place exercise bike on surface.,Straighten the seat.,on,None,adjust=调整→straighten
00313-PE6kVEtrxtj/tasks-island_0.json,20,3,Put on the bench.,G2_tidy,place_on,straighten,Place the bench.,Straighten the bench.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,17,4,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,56,5,Put on the bag.,G2_tidy,store,straighten,Store the bag.,Straighten the bag.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,161,2,Adjust the weight on the exercise equipment.,G2_tidy,place_on,straighten,Place exercise equipment on surface.,Straighten the weight.,on,None,adjust=调整→straighten
00327-xgLmjqzoAzF/tasks-island_0.json,169,3,Adjust the brightness on the screen.,G2_tidy,place_on,straighten,Place screen on surface.,Straighten the brightness.,on,None,adjust=调整→straighten
00327-xgLmjqzoAzF/tasks-island_0.json,264,2,Put on the robe.,G2_tidy,place_on,straighten,Place the robe.,Straighten the robe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,312,5,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00378-DqJKU7YU7dA/tasks-island_1.json,271,6,Put on a record on the music player.,G2_tidy,place_on,straighten,Place music player on surface.,Straighten the record on the music player.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00378-DqJKU7YU7dA/tasks-island_1.json,285,6,Put on the music player.,G2_tidy,place_on,straighten,Place the music player.,Straighten the music player.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,24,3,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,70,3,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,172,2,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,192,5,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00384-ceJTwFNjqCt/tasks-island_0.json,23,1,Neatly arrange the brochures on the stand.,G1_fix,place_on,place_on,Place brochures on surface.,Place the brochures on the stand.,on,on,"副词前缀导致解析失败,手动G1"
00384-ceJTwFNjqCt/tasks-island_0.json,31,4,Update the labels on the shelf.,G1_fix,place_on,place_on,Place shelf on surface.,Place the labels on the shelf.,on,on,update→place_on
00422-8wJuSPJ9FXG/tasks-island_0.json,125,1,Adjust the shower head on the shower hose.,G2_tidy,place_on,straighten,Place shower hose on surface.,Straighten the shower head.,on,None,adjust=调整→straighten
00434-L5QEsaVqwrY/tasks-island_0.json,166,4,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00434-L5QEsaVqwrY/tasks-island_0.json,176,4,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00434-L5QEsaVqwrY/tasks-island_0.json,223,3,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00475-g7hUFVNac26/tasks-island_0.json,467,2,Adjust the resistance on the exercise bike.,G2_tidy,place_on,straighten,Place exercise bike on surface.,Straighten the resistance.,on,None,adjust=调整→straighten
00541-FnDDfrBZPhh/tasks-island_0.json,73,6,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00541-FnDDfrBZPhh/tasks-island_0.json,99,6,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00547-9h5JJxM6E5S/tasks-island_0.json,24,3,Fold laundry and put it in the chest of drawers.,G1_fix,place_in,fold,Place chest of drawers in receptacle.,Fold the laundry and put it in the chest of drawers.,in,in,fold保真
00591-JptJPosx1Z6/tasks-island_0.json,6,4,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00591-JptJPosx1Z6/tasks-island_0.json,32,4,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00591-JptJPosx1Z6/tasks-island_0.json,213,1,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00598-mt9H8KcxRKD/tasks-island_0.json,148,5,Neatly arrange items on the shelf.,G1_fix,place_on,place_on,Place shelf on surface.,Place the items on the shelf.,on,on,"副词前缀导致解析失败,手动G1"
00606-W16Bm4ysK8v/tasks-island_0.json,73,1,Adjust the settings on the boiler.,G2_tidy,place_on,straighten,Place boiler on surface.,Straighten the settings.,on,None,adjust=调整→straighten
00624-ooq3SnvC79d/tasks-island_0.json,28,5,Adjust the settings on the dehumidifier.,G2_tidy,place_on,straighten,Place dehumidifier on surface.,Straighten the settings.,on,None,adjust=调整→straighten
00624-ooq3SnvC79d/tasks-island_0.json,33,2,Neatly arrange the alcohol bottles on the shelf.,G1_fix,place_on,place_on,Place alcohol bottles on surface.,Place the alcohol bottles on the shelf.,on,on,"副词前缀导致解析失败,手动G1"
00624-ooq3SnvC79d/tasks-island_0.json,88,5,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00626-XiJhRLvpKpX/tasks-island_0.json,277,6,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00657-TSJmdttd2GV/tasks-island_2.json,72,6,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00680-YmWinf3mhb5/tasks-island_0.json,48,3,Refill the watering can at the sink.,G1_fix,place_in,fill,Place sink in receptacle.,Fill the watering can at the sink.,in,at,refill→fill
00696-DsEJeNPcZtE/tasks-island_2.json,15,3,Group items into the basket.,G1_fix,place_in,place_in,Place basket in receptacle.,Place the items into the basket.,in,in,group→place_in
00723-hWDDQnSDMXb/tasks-island_1.json,70,4,Put on the speaker.,G2_tidy,place_on,straighten,Place the speaker.,Straighten the speaker.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00723-hWDDQnSDMXb/tasks-island_1.json,76,5,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00723-hWDDQnSDMXb/tasks-island_1.json,147,5,Put on the radio.,G2_tidy,place_on,straighten,Place the radio.,Straighten the radio.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00732-Z2DQddYp1fn/tasks-island_0.json,99,4,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00746-RTV2n6fXB2w/tasks-island_0.json,5,4,Put on the apron before cleaning the instruments.,G2_tidy,place_on,straighten,Place the apron.,Straighten the apron before cleaning the instruments.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00746-RTV2n6fXB2w/tasks-island_0.json,73,3,Put on the apron.,G2_tidy,place_on,straighten,Place the apron.,Straighten the apron.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00746-RTV2n6fXB2w/tasks-island_0.json,83,2,Put on the apron.,G2_tidy,place_on,straighten,Place the apron.,Straighten the apron.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00746-RTV2n6fXB2w/tasks-island_0.json,93,2,Put on the apron.,G2_tidy,place_on,straighten,Place the apron.,Straighten the apron.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00746-RTV2n6fXB2w/tasks-island_0.json,96,6,Put on the apron.,G2_tidy,place_on,straighten,Place the apron.,Straighten the apron.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00750-E1NrAhMoqvB/tasks-island_0.json,195,7,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00758-HfMobPm86Xn/tasks-island_0.json,137,4,Fold clean laundry on the seat.,G1_fix,place_on,fold,Place seat on surface.,Fold the clean laundry on the seat.,on,on,fold保真
00800-TEEsavR23oF/tasks-island_0.json,107,4,Put on the kitchen cabinet.,G2_tidy,place_on,straighten,Place the kitchen cabinet.,Straighten the kitchen cabinet.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00803-k1cupFYWXJ6/tasks-island_0.json,62,3,Position the exhibition panel in the next hall.,G1_fix,place_in,place_in,Place exhibition panel in receptacle.,Place the exhibition panel in the next hall.,in,in,position→place
00808-y9hTuugGdiq/tasks-island_0.json,77,4,Fold clothes on the chest of drawers.,G1_fix,place_on,fold,Place chest of drawers on surface.,Fold the clothes on the chest of drawers.,on,on,fold保真
00810-CrMo8WxCyVb/tasks-island_0.json,192,4,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00814-p53SfW6mjZe/tasks-island_0.json,73,3,Empty debris into the basket.,G1_fix,place_in,place_in,Place basket in receptacle.,Place the debris into the basket.,in,in,empty→place_in
00815-h1zeeAwLh9Z/tasks-island_0.json,4,3,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00815-h1zeeAwLh9Z/tasks-island_0.json,80,2,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00815-h1zeeAwLh9Z/tasks-island_0.json,85,3,Re-position the statue.,G2_tidy,place_on,reposition,Place statue on surface.,Reposition the statue.,on,None,连字符导致解析失败
00831-yr17PDCnDDW/tasks-island_1.json,157,4,File into the cabinet.,G1_fix,place_in,store,Store the cabinet.,Store the files in the cabinet.,in,in,file=归档→store
00839-zt1RVoi7PcG/tasks-island_0.json,56,5,Put on the shoe.,G2_tidy,place_on,straighten,Place the shoe.,Straighten the shoe.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00853-5cdEh9F2hJL/tasks-island_0.json,147,5,Fold clothes into the chest drawer.,G1_fix,place_in,fold,Place chest drawer in receptacle.,Fold the clothes into the chest drawer.,in,in,fold保真
00871-VBzV5z6i1WS/tasks-island_0.json,124,2,Adjust the items on the dresser.,G2_tidy,place_on,straighten,Place dresser on surface.,Straighten the items.,on,None,adjust=调整→straighten
00890-6s7QHgap2fW/tasks-island_0.json,191,6,Fold the dried items on the iron board.,G1_fix,place_on,fold,Place iron board on surface.,Fold the dried items on the iron board.,on,on,fold保真
