file,scene_id,task_idx,step_id,error_type,old_action,new_action,old_atomic_step,new_atomic_step,reason
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,220,7,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,222,4,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,228,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,254,4,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00099-226REUyJh2K\tasks-island_1.json,00099-226REUyJh2K,29,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00149-UuwwmrTsfBN\tasks-island_0.json,00149-UuwwmrTsfBN,107,6,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00150-LcAd9dhvVwh\tasks-island_0.json,00150-LcAd9dhvVwh,92,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00150-LcAd9dhvVwh\tasks-island_0.json,00150-LcAd9dhvVwh,174,6,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00168-bHKTDQFJxTw\tasks-island_0.json,00168-bHKTDQFJxTw,10,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00168-bHKTDQFJxTw\tasks-island_0.json,00168-bHKTDQFJxTw,83,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00168-bHKTDQFJxTw\tasks-island_0.json,00168-bHKTDQFJxTw,94,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00168-bHKTDQFJxTw\tasks-island_0.json,00168-bHKTDQFJxTw,98,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00168-bHKTDQFJxTw\tasks-island_0.json,00168-bHKTDQFJxTw,143,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,42,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,63,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,104,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,131,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,147,5,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00172-bB6nKqfsb1z\tasks-island_0.json,00172-bB6nKqfsb1z,170,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00173-qZ4B7U6XE5Y\tasks-island_0.json,00173-qZ4B7U6XE5Y,29,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00173-qZ4B7U6XE5Y\tasks-island_0.json,00173-qZ4B7U6XE5Y,72,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00173-qZ4B7U6XE5Y\tasks-island_1.json,00173-qZ4B7U6XE5Y,14,6,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00177-VSxVP19Cdyw\tasks-island_0.json,00177-VSxVP19Cdyw,73,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00177-VSxVP19Cdyw\tasks-island_0.json,00177-VSxVP19Cdyw,141,3,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00177-VSxVP19Cdyw\tasks-island_0.json,00177-VSxVP19Cdyw,146,4,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00238-j6fHrce9pHR\tasks-island_0.json,00238-j6fHrce9pHR,361,2,ROLLBACK,straighten,fluff,Straighten items on the sofa seat.,Fluff items on the sofa seat.,R02 was over-correction; couch/sofa items ARE fluffable
00250-U3oQjwTuMX8\tasks-island_0.json,00250-U3oQjwTuMX8,65,2,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00250-U3oQjwTuMX8\tasks-island_0.json,00250-U3oQjwTuMX8,87,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00251-wsAYBFtQaL7\tasks-island_0.json,00251-wsAYBFtQaL7,245,3,ROLLBACK,straighten,fluff,Straighten items on the l-shaped sofa.,Fluff items on the l-shaped sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00251-wsAYBFtQaL7\tasks-island_0.json,00251-wsAYBFtQaL7,273,5,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00255-NGyoyh91xXJ\tasks-island_0.json,00255-NGyoyh91xXJ,85,2,ROLLBACK,straighten,fluff,Straighten items on the armchair.,Fluff items on the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00255-NGyoyh91xXJ\tasks-island_0.json,00255-NGyoyh91xXJ,134,4,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00263-GGBvSFddQgs\tasks-island_1.json,00263-GGBvSFddQgs,10,3,ROLLBACK,straighten,fluff,Straighten items on the sofa set.,Fluff items on the sofa set.,R02 was over-correction; couch/sofa items ARE fluffable
00269-JNiWU5TZLtt\tasks-island_0.json,00269-JNiWU5TZLtt,3,3,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00269-JNiWU5TZLtt\tasks-island_0.json,00269-JNiWU5TZLtt,122,2,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00269-JNiWU5TZLtt\tasks-island_0.json,00269-JNiWU5TZLtt,133,4,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00294-PPTLa8SkUfo\tasks-island_0.json,00294-PPTLa8SkUfo,48,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00294-PPTLa8SkUfo\tasks-island_0.json,00294-PPTLa8SkUfo,141,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00294-PPTLa8SkUfo\tasks-island_0.json,00294-PPTLa8SkUfo,216,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00294-PPTLa8SkUfo\tasks-island_0.json,00294-PPTLa8SkUfo,261,6,ROLLBACK,straighten,fluff,Straighten items on the armchair.,Fluff items on the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00299-bdp1XNEdvmW\tasks-island_0.json,00299-bdp1XNEdvmW,106,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00299-bdp1XNEdvmW\tasks-island_0.json,00299-bdp1XNEdvmW,136,6,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00304-X6Pct1msZv5\tasks-island_0.json,00304-X6Pct1msZv5,5,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00304-X6Pct1msZv5\tasks-island_0.json,00304-X6Pct1msZv5,17,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00304-X6Pct1msZv5\tasks-island_0.json,00304-X6Pct1msZv5,122,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00307-vDfkYo5VqEQ\tasks-island_0.json,00307-vDfkYo5VqEQ,81,7,ROLLBACK,straighten,fluff,Straighten the sofa chair.,Fluff the sofa chair.,R02 was over-correction; couch/sofa items ARE fluffable
00307-vDfkYo5VqEQ\tasks-island_0.json,00307-vDfkYo5VqEQ,87,6,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00307-vDfkYo5VqEQ\tasks-island_0.json,00307-vDfkYo5VqEQ,98,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00307-vDfkYo5VqEQ\tasks-island_0.json,00307-vDfkYo5VqEQ,108,6,ROLLBACK,straighten,fluff,Straighten the sofa chair.,Fluff the sofa chair.,R02 was over-correction; couch/sofa items ARE fluffable
00313-PE6kVEtrxtj\tasks-island_0.json,00313-PE6kVEtrxtj,17,4,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00326-u9rPN5cHWBg\tasks-island_0.json,00326-u9rPN5cHWBg,170,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00326-u9rPN5cHWBg\tasks-island_0.json,00326-u9rPN5cHWBg,198,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00327-xgLmjqzoAzF\tasks-island_0.json,00327-xgLmjqzoAzF,151,3,ROLLBACK,straighten,fluff,Straighten items on the sofa chair.,Fluff items on the sofa chair.,R02 was over-correction; couch/sofa items ARE fluffable
00378-DqJKU7YU7dA\tasks-island_1.json,00378-DqJKU7YU7dA,148,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00378-DqJKU7YU7dA\tasks-island_1.json,00378-DqJKU7YU7dA,289,3,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00382-S7uMvxjBVZq\tasks-island_0.json,00382-S7uMvxjBVZq,7,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00382-S7uMvxjBVZq\tasks-island_0.json,00382-S7uMvxjBVZq,138,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,57,1,ROLLBACK,straighten,fluff,Straighten items on the sofa.,Fluff items on the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,78,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,85,3,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,101,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,175,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00386-b3WpMbPFB6q\tasks-island_0.json,00386-b3WpMbPFB6q,204,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00404-QN2dRqwd84J\tasks-island_0.json,00404-QN2dRqwd84J,66,5,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00407-NPHxDe6VeCc\tasks-island_1.json,00407-NPHxDe6VeCc,166,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00410-v7DzfFFEpsD\tasks-island_1.json,00410-v7DzfFFEpsD,73,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00410-v7DzfFFEpsD\tasks-island_1.json,00410-v7DzfFFEpsD,89,5,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00410-v7DzfFFEpsD\tasks-island_1.json,00410-v7DzfFFEpsD,176,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00414-77mMEyxhs44\tasks-island_1.json,00414-77mMEyxhs44,3,2,ROLLBACK,straighten,fluff,Straighten items on the sofa.,Fluff items on the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00414-77mMEyxhs44\tasks-island_1.json,00414-77mMEyxhs44,116,7,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00414-77mMEyxhs44\tasks-island_1.json,00414-77mMEyxhs44,140,5,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00414-77mMEyxhs44\tasks-island_1.json,00414-77mMEyxhs44,153,4,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00440-wPLokgvCnuk\tasks-island_0.json,00440-wPLokgvCnuk,62,3,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00444-sX9xad6ULKc\tasks-island_0.json,00444-sX9xad6ULKc,107,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00475-g7hUFVNac26\tasks-island_0.json,00475-g7hUFVNac26,17,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00475-g7hUFVNac26\tasks-island_0.json,00475-g7hUFVNac26,37,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00475-g7hUFVNac26\tasks-island_0.json,00475-g7hUFVNac26,73,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00475-g7hUFVNac26\tasks-island_0.json,00475-g7hUFVNac26,472,5,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00475-g7hUFVNac26\tasks-island_0.json,00475-g7hUFVNac26,488,2,ROLLBACK,straighten,fluff,Straighten items on the sofa chair.,Fluff items on the sofa chair.,R02 was over-correction; couch/sofa items ARE fluffable
00487-erXNfWVjqZ8\tasks-island_0.json,00487-erXNfWVjqZ8,33,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00487-erXNfWVjqZ8\tasks-island_0.json,00487-erXNfWVjqZ8,96,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00487-erXNfWVjqZ8\tasks-island_0.json,00487-erXNfWVjqZ8,173,3,ROLLBACK,straighten,fluff,Straighten items on the armchair.,Fluff items on the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00525-iKFn6fzyRqs\tasks-island_0.json,00525-iKFn6fzyRqs,137,3,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00537-oahi4u45xMf\tasks-island_0.json,00537-oahi4u45xMf,14,2,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00537-oahi4u45xMf\tasks-island_0.json,00537-oahi4u45xMf,37,5,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00537-oahi4u45xMf\tasks-island_0.json,00537-oahi4u45xMf,49,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,132,3,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,141,3,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,167,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,173,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,198,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,270,5,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00538-3CBBjsNkhqW\tasks-island_0.json,00538-3CBBjsNkhqW,278,6,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00539-zUG6FL9TYeR\tasks-island_0.json,00539-zUG6FL9TYeR,46,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00547-9h5JJxM6E5S\tasks-island_0.json,00547-9h5JJxM6E5S,5,2,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00547-9h5JJxM6E5S\tasks-island_0.json,00547-9h5JJxM6E5S,45,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00557-fRZhp6vWGw7\tasks-island_1.json,00557-fRZhp6vWGw7,28,3,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00582-TYDavTf8oyy\tasks-island_0.json,00582-TYDavTf8oyy,129,2,ROLLBACK,straighten,fluff,Straighten the sofa chair in the living area.,Fluff the sofa chair in the living area.,R02 was over-correction; couch/sofa items ARE fluffable
00582-TYDavTf8oyy\tasks-island_0.json,00582-TYDavTf8oyy,133,3,ROLLBACK,straighten,fluff,Straighten the sofa seat.,Fluff the sofa seat.,R02 was over-correction; couch/sofa items ARE fluffable
00582-TYDavTf8oyy\tasks-island_0.json,00582-TYDavTf8oyy,148,1,ROLLBACK,straighten,fluff,Straighten the sofa seat.,Fluff the sofa seat.,R02 was over-correction; couch/sofa items ARE fluffable
00590-qgZhhx1MpTi\tasks-island_0.json,00590-qgZhhx1MpTi,49,3,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00598-mt9H8KcxRKD\tasks-island_0.json,00598-mt9H8KcxRKD,12,3,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00598-mt9H8KcxRKD\tasks-island_0.json,00598-mt9H8KcxRKD,18,2,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00598-mt9H8KcxRKD\tasks-island_0.json,00598-mt9H8KcxRKD,32,3,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00598-mt9H8KcxRKD\tasks-island_0.json,00598-mt9H8KcxRKD,64,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
