file,task_idx,step_id,step,atomic_step,labels,vague_words,action_id
00009-vLpv2VX547B\tasks-island_0.json,142,3,Organize the clutter on the stand.,Place stand on surface.,stand,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,147,5,Arrange the book on the bookshelf.,Place book on surface.,book,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,150,2,Label the container.,Place a label on the container.,container,container,place_on
00009-vLpv2VX547B\tasks-island_0.json,151,2,Arrange the ornament.,Place ornament on surface.,ornament,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,151,3,Set the flowerpot near the window.,Place flowerpot on surface.,flowerpot,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,161,4,Arrange the guitar.,Place guitar on surface.,guitar,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,168,2,Arrange the guitar.,Place guitar on surface.,guitar,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,170,3,Fluff the pillow on the couch.,Fluff items on the couch.,couch,items,fluff
00009-vLpv2VX547B\tasks-island_0.json,173,3,Organize the book in the bookshelf.,Place bookshelf in receptacle.,bookshelf,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,175,4,Hang the hat on the hanger.,Hang items on the hanger.,hanger,items,hang
00009-vLpv2VX547B\tasks-island_0.json,176,4,Pack the items into the handbag.,Load items into the handbag.,handbag,items,load
00009-vLpv2VX547B\tasks-island_0.json,181,2,Hang my clothes in the wardrobe.,Hang items in the wardrobe.,wardrobe,items,hang
00009-vLpv2VX547B\tasks-island_0.json,183,2,Pack my essentials into the bag.,Load items into the bag.,bag,items,load
00009-vLpv2VX547B\tasks-island_0.json,185,4,Organize the brushes on the tray.,Place tray on surface.,tray,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,186,5,Prepare a small snack on a plate.,Place items on the plate.,plate,items,place_on
00009-vLpv2VX547B\tasks-island_0.json,186,6,Serve the snack in a bowl.,Place items in the bowl.,bowl,items,place_in
00009-vLpv2VX547B\tasks-island_0.json,194,5,Store the items in the kitchen cabinet.,Store the items in the kitchen cabinet.,kitchen cabinet,items,store
00009-vLpv2VX547B\tasks-island_0.json,202,6,Put away the coffee beans in the kitchen cabinet.,Store items in the kitchen cabinet.,kitchen cabinet,items,store
00009-vLpv2VX547B\tasks-island_0.json,206,5,Hang clean items on the hanger.,Hang items on the hanger.,hanger,items,hang
00009-vLpv2VX547B\tasks-island_0.json,207,4,Serve the toast on a plate.,Place items on the plate.,plate,items,place_on
00009-vLpv2VX547B\tasks-island_0.json,208,5,Use the kitchen appliance for garden tools.,Inspect the kitchen appliance.,kitchen appliance,appliance,inspect
00009-vLpv2VX547B\tasks-island_0.json,214,5,Organize the tools in the storage cabinet.,Place storage cabinet in receptacle.,storage cabinet,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,215,6,Organize the files in the cabinet.,Place cabinet in receptacle.,cabinet,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,217,5,Set the plate on the table.,Place plate on surface.,plate,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,217,6,Clean the kitchen appliance.,Wipe kitchen appliance.,kitchen appliance,appliance,wipe
00009-vLpv2VX547B\tasks-island_0.json,223,5,Move the container out of the way.,Carry the container.,container,container,carry
00009-vLpv2VX547B\tasks-island_0.json,227,7,Tidy the kitchen appliance area.,Straighten kitchen appliance.,kitchen appliance,appliance,straighten
00009-vLpv2VX547B\tasks-island_0.json,241,2,Sort the clothes in the box.,Place box in receptacle.,box,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,243,5,Wash the kitchen appliance parts.,Wipe the kitchen appliance.,kitchen appliance,appliance,wipe
00009-vLpv2VX547B\tasks-island_0.json,245,4,Arrange the ornament on the shelf.,Place ornament on surface.,ornament,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,246,5,Move the vacuum cleaner to its spot.,Carry the vacuum cleaner to the spot.,vacuum cleaner,spot,carry
00009-vLpv2VX547B\tasks-island_0.json,251,7,Organize the books on the bookshelf.,Place bookshelf on surface.,bookshelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,255,3,Set the toaster for a snack.,Place toaster on surface.,toaster,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,258,7,Set the camera for a photo.,Place camera on surface.,camera,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,260,3,Arrange the shelf.,Place shelf on surface.,shelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,260,4,Move the box to a better spot.,Carry the box to the better spot.,box,spot,carry
00009-vLpv2VX547B\tasks-island_0.json,262,4,Replace the bulb in the lamp.,Place items in the lamp.,lamp,items,place_in
00009-vLpv2VX547B\tasks-island_0.json,263,4,Set the toaster for bread.,Place toaster on surface.,toaster,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,272,5,Arrange the bookshelf.,Place bookshelf on surface.,bookshelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,275,1,Set the plate on the table.,Place plate on surface.,plate,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,275,5,Clean the kitchen appliance.,Wipe kitchen appliance.,kitchen appliance,appliance,wipe
00009-vLpv2VX547B\tasks-island_0.json,277,2,Place items in the cabinet.,Place items in the cabinet.,cabinet,items,place_in
00009-vLpv2VX547B\tasks-island_0.json,285,2,Hang clothes on the hanger.,Hang items on the hanger.,hanger,items,hang
00016-qk9eeNeR4vw\tasks-island_1.json,5,1,Organize the books on the shelf.,Place shelf on surface.,shelf,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,7,2,Arrange the patio chair.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,14,4,Move the container.,Carry the container.,container,container,carry
00016-qk9eeNeR4vw\tasks-island_1.json,18,1,Move the chair to the desk area.,Reposition the chair to the desk area.,chair,area,reposition
00016-qk9eeNeR4vw\tasks-island_1.json,21,3,Arrange the flowers in the vase.,Place flower in receptacle.,flower,receptacle,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,21,4,Set the decorative bowl on the table.,Place decorative bowl on surface.,decorative bowl,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,27,2,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,29,4,Place extra items in the container.,Place extra items in the container.,container,"items, container",place_in
00016-qk9eeNeR4vw\tasks-island_1.json,32,2,Arrange the patio chairs.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,39,1,Load the dishwasher with used items.,Load the dishwasher with the used items.,dishwasher,items,load
00016-qk9eeNeR4vw\tasks-island_1.json,41,5,Organize items on the shelf.,Place shelf on surface.,shelf,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,42,2,Arrange the patio chair for seating.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,43,3,Pull up a chair to the desk area.,Pull the chair to the desk area.,chair,area,pull
00016-qk9eeNeR4vw\tasks-island_1.json,49,2,Arrange items inside the cabinet.,Place cabinet in receptacle.,cabinet,receptacle,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,50,2,Organize the books on the shelf.,Place shelf in receptacle.,shelf,receptacle,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,54,5,Load dirty dishes into the dishwasher.,Load items into the dishwasher.,dishwasher,items,load
00016-qk9eeNeR4vw\tasks-island_1.json,56,3,Place small items in the basket.,Place small items in the basket.,basket,items,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,56,4,Secure the lid on the container.,Place items in the container.,container,"items, container",place_in
00016-qk9eeNeR4vw\tasks-island_1.json,57,5,Arrange the vase centerpiece.,Place vase on surface.,vase,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,65,4,Place loose items in the basket.,Place loose items in the basket.,basket,items,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,75,4,Store items in the cabinet.,Place items in the cabinet.,cabinet,items,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,76,4,Set the tray.,Place tray on surface.,tray,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,78,3,Arrange the patio chair.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,83,1,Organize the books on the shelf.,Place shelf on surface.,shelf,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,84,3,Arrange the patio chair.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,92,2,Fill it at the sink.,Use the sink to fill a container.,sink,container,fill
00016-qk9eeNeR4vw\tasks-island_1.json,93,2,Fill it with water at the tap.,Use the tap to fill a container.,tap,container,fill
00016-qk9eeNeR4vw\tasks-island_1.json,96,3,Organize the documents on the shelf.,Place shelf on surface.,shelf,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,101,5,Organize the container.,Straighten container.,container,container,straighten
00016-qk9eeNeR4vw\tasks-island_1.json,101,6,Arrange the boxes.,Place box on surface.,box,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,103,5,Arrange the patio chairs.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,105,4,Arrange the patio chairs.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,106,3,Get a container for water.,Pick up the container.,container,container,pick_up
00016-qk9eeNeR4vw\tasks-island_1.json,106,4,Fill the container at the sink.,Use the sink to fill a container.,sink,container,fill
00016-qk9eeNeR4vw\tasks-island_1.json,107,4,Hang the clothes in the closet mirror wall.,Hang items in the closet mirror wall.,closet mirror wall,items,hang
00016-qk9eeNeR4vw\tasks-island_1.json,110,4,Set the tray with drinks.,Place tray on surface.,tray,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,111,3,Hang clothes in the closet mirror wall.,Hang items in the closet mirror wall.,closet mirror wall,items,hang
00016-qk9eeNeR4vw\tasks-island_1.json,114,4,Arrange the vase.,Place vase on surface.,vase,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,115,7,Arrange the closet mirror wall.,Place closet mirror wall on surface.,closet mirror wall,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,117,5,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,123,2,Arrange the patio chair.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,124,2,Set the toaster.,Place toaster in receptacle.,toaster,receptacle,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,126,2,Arrange the speaker.,Place speaker on surface.,speaker,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,126,6,Position the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,134,2,Move the container.,Carry the container.,container,container,carry
00016-qk9eeNeR4vw\tasks-island_1.json,136,5,Arrange the patio chair.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,142,4,Set the flower vase on the small table.,Place flower vase on surface.,flower vase,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,144,4,Organize items in the basket.,Place basket in receptacle.,basket,receptacle,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,145,2,Arrange the patio chair for guests.,Place patio chair on surface.,patio chair,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,145,5,Bring the tray from the living area.,Carry the tray from the living area.,tray,area,carry
00016-qk9eeNeR4vw\tasks-island_1.json,147,4,Put the sunglasses in the container.,Place the sunglasses in the container.,container,container,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,150,5,Arrange the book on the nightstand.,Place book on surface.,book,surface,place_on
00016-qk9eeNeR4vw\tasks-island_1.json,150,6,Put loose items in the box.,Place loose items in the box.,box,items,place_in
00016-qk9eeNeR4vw\tasks-island_1.json,151,6,Move the vase to a safe spot.,Carry the vase to the safe spot.,vase,spot,carry
00016-qk9eeNeR4vw\tasks-island_1.json,159,6,Move the container to the storage.,Carry the container to the storage.,container,container,carry
00017-oEPjPNSPmzL\tasks-island_1.json,3,3,Wipe the kitchen countertop item.,Wipe the kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,8,3,Prepare the kitchen countertop item.,Wipe the kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,9,3,Clear the kitchen countertop items.,Wipe kitchen countertop items.,kitchen countertop items,items,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,13,2,Sort items into the basket.,Place basket in receptacle.,basket,receptacle,place_in
00017-oEPjPNSPmzL\tasks-island_1.json,14,2,Stack items in the kitchen lower cabinet.,Place items in the kitchen lower cabinet.,kitchen lower cabinet,items,place_in
00017-oEPjPNSPmzL\tasks-island_1.json,14,4,Wipe the kitchen countertop item.,Wipe the kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,16,3,Clear the kitchen countertop items.,Wipe kitchen countertop items.,kitchen countertop items,items,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,21,4,Store items in the cabinet.,Place items in the cabinet.,cabinet,items,place_in
00017-oEPjPNSPmzL\tasks-island_1.json,24,3,Wipe the kitchen countertop item.,Wipe the kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,29,1,Clear the kitchen countertop item.,Wipe kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,32,3,Arrange the rack.,Place rack on surface.,rack,surface,place_on
00017-oEPjPNSPmzL\tasks-island_1.json,34,2,Set the cup on the desk.,Place cup in receptacle.,cup,receptacle,place_in
00017-oEPjPNSPmzL\tasks-island_1.json,38,2,Wipe the kitchen countertop items.,Wipe the kitchen countertop items.,kitchen countertop items,items,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,41,3,Position the camera.,Place camera on surface.,camera,surface,place_on
00017-oEPjPNSPmzL\tasks-island_1.json,46,4,Organize the kitchen appliance.,Straighten kitchen appliance.,kitchen appliance,appliance,straighten
00017-oEPjPNSPmzL\tasks-island_1.json,48,3,Turn off the kitchen appliance.,Turn off the kitchen appliance.,kitchen appliance,appliance,turn_off
00017-oEPjPNSPmzL\tasks-island_1.json,65,1,Fill a container at the sink.,Use the sink to fill a container.,sink,container,fill
00017-oEPjPNSPmzL\tasks-island_1.json,68,5,Set the camera.,Place camera on surface.,camera,surface,place_on
00017-oEPjPNSPmzL\tasks-island_1.json,75,7,Place a kitchen countertop item nearby.,Place the kitchen countertop item.,kitchen countertop item,item,place_on
00017-oEPjPNSPmzL\tasks-island_1.json,83,3,Clear the kitchen countertop item.,Wipe kitchen countertop item.,kitchen countertop item,item,wipe
00017-oEPjPNSPmzL\tasks-island_1.json,84,7,Arrange the toothbrush.,Place toothbrush on surface.,toothbrush,surface,place_on
00017-oEPjPNSPmzL\tasks-island_1.json,88,3,Re-position the decorative plant.,Place decorative plant on surface.,decorative plant,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,1,3,Set the cup on the table.,Place cup on surface.,cup,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,3,4,Shut the curtain in the dining area.,Close the curtain in the dining area.,curtain,area,close
00020-XYyR54sxe6b\tasks-island_0.json,10,2,Arrange the pillows on the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,13,3,Arrange the shelf.,Place shelf on surface.,shelf,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,14,2,Set the plate on the table.,Place plate on surface.,plate,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,19,2,Take the flashlight from the stairs area.,Pick up the flashlight from the stairs area.,flashlight,area,pick_up
00020-XYyR54sxe6b\tasks-island_0.json,20,5,Turn on the furnace in the living area.,Turn on the furnace in the living area.,furnace,area,turn_on
00020-XYyR54sxe6b\tasks-island_0.json,21,3,Place items in the washing machine.,Place items in the washing machine.,washing machine,items,place_in
00020-XYyR54sxe6b\tasks-island_0.json,22,1,Retrieve the pan from the storage area.,Pick up the pan from the storage area.,pan,area,pick_up
00020-XYyR54sxe6b\tasks-island_0.json,24,2,Close the curtain in the bath area.,Close the curtain in the bath area.,curtain,area,close
00020-XYyR54sxe6b\tasks-island_0.json,27,2,Set out the plates in the living area.,Place the plate in the living area.,plate,area,place_in
00020-XYyR54sxe6b\tasks-island_0.json,37,2,Get the cup from the dining area.,Pick up the cup from the dining area.,cup,area,pick_up
00020-XYyR54sxe6b\tasks-island_0.json,44,4,Wipe the beam in the dining area.,Wipe the beam in the dining area.,beam,area,wipe
00020-XYyR54sxe6b\tasks-island_0.json,50,1,Get the plate from the living area.,Pick up the plate from the living area.,plate,area,pick_up
00020-XYyR54sxe6b\tasks-island_0.json,50,4,Set the tray on the bedroom cabinet.,Place cabinet on surface.,cabinet,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,52,2,Arrange the plate from the living area.,Place plate on surface.,plate,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,52,3,Set the cup on the dining table.,Place cup on surface.,cup,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,54,5,Dust the tv near the seating area.,Dust the tv near the seating area.,tv,area,dust
00020-XYyR54sxe6b\tasks-island_0.json,61,6,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,86,3,Arrange the sofa seat.,Place sofa seat in receptacle.,sofa seat,receptacle,place_in
00020-XYyR54sxe6b\tasks-island_0.json,92,3,Organize the clothes in the wardrobe.,Place wardrobe in receptacle.,wardrobe,receptacle,place_in
00020-XYyR54sxe6b\tasks-island_0.json,92,4,Place the small items inside the cabinet.,Place the small items in the cabinet.,cabinet,items,place_in
00020-XYyR54sxe6b\tasks-island_0.json,93,4,Load the dirty dishes into the dishwasher.,Load items into the dishwasher.,dishwasher,items,load
00020-XYyR54sxe6b\tasks-island_0.json,95,2,Arrange the sofa seat in the living room.,Place sofa seat in receptacle.,sofa seat,receptacle,place_in
00020-XYyR54sxe6b\tasks-island_0.json,95,3,Set the plate on the table.,Place plate on surface.,plate,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,98,5,Set the flower vase on the dining table.,Place flower vase on surface.,flower vase,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,102,1,Start the washer-dryer in the kitchen area.,Turn on the washer-dryer in the kitchen area.,washer-dryer,area,turn_on
00020-XYyR54sxe6b\tasks-island_0.json,102,6,Dust the shelf in the laundry area.,Dust the shelf in the laundry area.,shelf,area,dust
00020-XYyR54sxe6b\tasks-island_0.json,103,6,Set the cup on the table.,Place cup on surface.,cup,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,108,3,Arrange the sofa seat cushions.,Place sofa seat on surface.,sofa seat,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,109,4,Organize the items on the shelf.,Place shelf on surface.,shelf,surface,place_on
00020-XYyR54sxe6b\tasks-island_0.json,116,2,Take the cup to the kitchen area.,Pick up the cup to the kitchen area.,cup,area,pick_up
00022-gmuS7Wgsbrx\tasks-island_0.json,3,3,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,13,3,Set the pitcher down.,Place pitcher on surface.,pitcher,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,16,2,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,44,3,Place items in the basket.,Place items in the basket.,basket,items,place_in
00022-gmuS7Wgsbrx\tasks-island_0.json,49,3,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,50,3,Reposition the flowerpot.,Place flowerpot on surface.,flowerpot,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,84,4,Arrange the shampoo.,Place shampoo on surface.,shampoo,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,88,1,Arrange the sofa seat.,Place sofa seat on surface.,sofa seat,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,92,4,Place items on the bed table.,Place items on the bed table.,bed table,items,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,92,5,Put things in the handbag.,Place things in the handbag.,handbag,things,place_in
00022-gmuS7Wgsbrx\tasks-island_0.json,100,5,Arrange the flowerpot.,Place flowerpot on surface.,flowerpot,surface,place_on
00022-gmuS7Wgsbrx\tasks-island_0.json,106,4,Arrange the basket of something.,Place basket of something on surface.,basket of something,surface,place_on
