action,file,new,object,old,reason,tag,type
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,cooker,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,cooker,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,cooker,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00025-ixTj1aTMup2\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,stovetop,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,stovetop,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,stovetop,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,stovetop,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00031-Wo6kuutE9i7\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00033-oPj9qMxrDEa\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00033-oPj9qMxrDEa\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00033-oPj9qMxrDEa\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00034-6imZUJGRUq4\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00035-3XYAD64HpDr\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00035-3XYAD64HpDr\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00035-3XYAD64HpDr\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00035-3XYAD64HpDr\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00055-HxmXPBbFCkH\tasks-island_1.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00055-HxmXPBbFCkH\tasks-island_1.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00055-HxmXPBbFCkH\tasks-island_1.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00055-HxmXPBbFCkH\tasks-island_1.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00055-HxmXPBbFCkH\tasks-island_1.json,,stove,,,vocab_gap:no_boil_action,FLAG
,00057-1UnKg1rAb8A\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00057-1UnKg1rAb8A\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00062-ACZZiU6BXLz\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00062-ACZZiU6BXLz\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,stovetop,,,vocab_gap:no_boil_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00064-gQgtJ9Stk5s\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00081-5biL7VEkByM\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00087-YY8rqV6L6rf\tasks-island_2.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00096-6HRFAUDqpTb\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00096-6HRFAUDqpTb\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00108-oStKKWkQ1id\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00109-GTV2Y73Sn5t\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00135-HeSYRw7eMtG\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00135-HeSYRw7eMtG\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00135-HeSYRw7eMtG\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00135-HeSYRw7eMtG\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00141-iigzG1rtanx\tasks-island_1.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00143-5Kw4nGdqYtS\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00143-5Kw4nGdqYtS\tasks-island_0.json,Fill the liquid soap.,,Fill the liquid soap dispenser.,dispenser not in labels; reverted to 'liquid soap',,GROUNDING_FIX
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00150-LcAd9dhvVwh\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00155-iLDo95ZbDJq\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
