file,task_idx,step_id,old_action,atomic_step,step_orig,objects
00397-ZNanfzgCdm3\tasks-island_0.json,29,5,turn_on,Turn on the kitchen appliance.,Repair the kitchen appliance.,kitchen appliance
00397-ZNanfzgCdm3\tasks-island_0.json,77,4,reposition,Reposition the sink cabinet.,Repair the sink cabinet.,sink cabinet
00434-L5QEsaVqwrY\tasks-island_0.json,17,3,reposition,Reposition the sink.,Repair the sink.,sink
00434-L5QEsaVqwrY\tasks-island_0.json,365,3,reposition,Reposition the sink.,Repair the sink pipes.,sink
00434-L5QEsaVqwrY\tasks-island_0.json,433,3,reposition,Reposition the copier machine.,Repair the copier machine.,copier machine
00487-erXNfWVjqZ8\tasks-island_0.json,192,6,turn_on,Turn on the dishwasher.,Repair the dishwasher.,dishwasher
00495-CQWES1bawee\tasks-island_0.json,111,3,reposition,Reposition the sink.,Repair the sink connection.,sink
00569-YJDUB7hWg9h\tasks-island_0.json,2,3,reposition,Reposition the bath cabinet.,Repair the hinge on the bath cabinet.,bath cabinet
00591-JptJPosx1Z6\tasks-island_0.json,285,7,turn_on,Turn on the kitchen appliance.,Repair the kitchen appliance.,kitchen appliance
00591-JptJPosx1Z6\tasks-island_0.json,308,6,turn_on,Turn on the kitchen appliance.,Repair the kitchen appliance.,kitchen appliance
00626-XiJhRLvpKpX\tasks-island_0.json,493,7,turn_on,Turn on the wall lamp.,Repair the wall lamp.,wall lamp
00626-XiJhRLvpKpX\tasks-island_0.json,522,3,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet
00643-ggNAcMh8JPT\tasks-island_1.json,67,5,reposition,Reposition the sink.,Repair the sink drain.,sink
00643-ggNAcMh8JPT\tasks-island_1.json,83,5,turn_on,Turn on the appliance.,Repair the appliance.,appliance
00657-TSJmdttd2GV\tasks-island_2.json,48,5,reposition,Reposition the mirror.,Repair the mirror.,mirror
00662-aRKASs4e8j1\tasks-island_0.json,41,2,reposition,Reposition the tap.,Repair the tap.,tap
00662-aRKASs4e8j1\tasks-island_0.json,56,1,reposition,Reposition the coat rack.,Repair the coat rack.,coat rack
00662-aRKASs4e8j1\tasks-island_0.json,65,3,reposition,Reposition the tap.,Repair the tap.,tap
00662-aRKASs4e8j1\tasks-island_0.json,70,5,reposition,Reposition the light fixture.,Repair the light fixture.,light fixture
00662-aRKASs4e8j1\tasks-island_0.json,79,6,turn_on,Turn on the printer.,Repair the printer.,printer
00664-u5atqC7vRCY\tasks-island_0.json,16,1,reposition,Reposition the support beam.,Inspect and repair the support beam.,support beam
00685-ENiCjXWB6aQ\tasks-island_3.json,33,3,reposition,Reposition the cabinet drawer.,Repair the cabinet drawer track.,cabinet drawer
00733-GtM3JtRvvvR\tasks-island_0.json,90,5,reposition,Reposition the wash cabinet.,Repair the wash cabinet.,wash cabinet
00758-HfMobPm86Xn\tasks-island_0.json,146,5,reposition,Reposition the locker.,Repair the locker handle.,locker
00810-CrMo8WxCyVb\tasks-island_0.json,78,3,reposition,Reposition the sink.,Repair the sink.,sink
00810-CrMo8WxCyVb\tasks-island_0.json,110,5,turn_on,Turn on the lamp.,Repair the lamp.,lamp
00810-CrMo8WxCyVb\tasks-island_0.json,117,3,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet
00810-CrMo8WxCyVb\tasks-island_0.json,134,5,reposition,Reposition the cabinet.,Repair the hinge on the cabinet.,cabinet
00810-CrMo8WxCyVb\tasks-island_0.json,172,3,reposition,Reposition the bench.,Repair the bench.,bench
00814-p53SfW6mjZe\tasks-island_0.json,105,4,reposition,Reposition the sink.,Repair the sink in the kitchen.,sink
00815-h1zeeAwLh9Z\tasks-island_0.json,19,4,reposition,Reposition the piano.,Repair the piano.,piano
00839-zt1RVoi7PcG\tasks-island_0.json,117,5,reposition,Reposition the fireplace.,Repair the fireplace in the lounge.,fireplace
00862-LT9Jq6dN3Ea\tasks-island_0.json,84,2,turn_on,Turn on the lamp.,Repair the lamp.,lamp
00876-mv2HUxq3B53\tasks-island_0.json,186,6,reposition,Reposition the support beam.,Repair the support beam.,support beam
00891-cvZr5TUy5C5\tasks-island_0.json,121,3,turn_on,Turn on the printer.,Repair the printer.,printer
00891-cvZr5TUy5C5\tasks-island_0.json,167,3,reposition,Reposition the cabinet.,Repair the cabinet door.,cabinet
