file,task_idx,step_id,rule,old_action,new_action,old_atomic_step,new_atomic_step,relation,mapping_source_op,step_orig
00022-gmuS7Wgsbrx/tasks-island_0.json,123,4,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,141,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,155,2,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,160,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,163,3,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,176,1,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,187,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,199,5,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,207,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle for ambiance.
00022-gmuS7Wgsbrx/tasks-island_0.json,214,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,232,2,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water with the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,242,2,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,257,1,R3_iron,straighten,iron,Straighten the clothes.,Iron the clothes.,None,+vocab_extension_v1:straighten->iron,Iron the clothes.
00022-gmuS7Wgsbrx/tasks-island_0.json,259,3,F3_repair_FLAG,turn_on,turn_on,Turn on the fan.,Turn on the fan.,on,+vocab_gap:repair,Repair the fan.
00022-gmuS7Wgsbrx/tasks-island_0.json,259,7,F3_repair_FLAG,turn_on,turn_on,Turn on the lamp.,Turn on the lamp.,on,+vocab_gap:repair,Repair the lamp.
00022-gmuS7Wgsbrx/tasks-island_0.json,265,4,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,273,3,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,287,2,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00022-gmuS7Wgsbrx/tasks-island_0.json,290,3,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,301,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,306,4,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,340,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle for tea.
00022-gmuS7Wgsbrx/tasks-island_0.json,342,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle for ambiance.
00022-gmuS7Wgsbrx/tasks-island_0.json,352,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,376,5,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,380,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,385,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,401,7,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00023-zepmXAdrpjR/tasks-island_0.json,5,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,21,2,R4_appliance_clean,turn_on,turn_on,Turn on the oven and stove.,Turn on the oven and stove.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the oven and stove.
00023-zepmXAdrpjR/tasks-island_0.json,27,1,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,30,3,F2_warm_inspect,inspect,turn_on,Inspect the toaster.,Turn on the toaster.,None,+vocab_extension_v1:inspect->turn_on,Use the toaster to warm the bread.
00023-zepmXAdrpjR/tasks-island_0.json,35,3,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,51,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,56,3,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,62,3,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,63,2,R4_appliance_clean,turn_on,turn_on,Turn on oven and stove.,Turn on oven and stove.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Preheat the oven and stove.
00023-zepmXAdrpjR/tasks-island_0.json,73,3,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,77,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,84,3,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,87,5,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,103,4,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,104,6,F3_repair_REMAP,reposition,tighten,Reposition the rack.,Tighten the rack.,None,+vocab_extension_v1:repair_remap->tighten,Repair the rack.
00023-zepmXAdrpjR/tasks-island_0.json,105,2,R4_appliance_clean,turn_on,turn_on,Turn on the oven and stove.,Turn on the oven and stove.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the oven and stove.
00023-zepmXAdrpjR/tasks-island_0.json,108,3,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,123,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,139,4,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,139,5,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,149,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,150,3,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Prepare the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,157,2,R4_roll_flag,smooth,smooth,Smooth the rug.,Smooth the rug.,None,+vocab_gap:roll,Roll up the rug.
00023-zepmXAdrpjR/tasks-island_0.json,160,2,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,164,5,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,164,7,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,168,1,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00023-zepmXAdrpjR/tasks-island_0.json,169,4,F3_repair_FLAG,reposition,reposition,Reposition the kitchen cabinet.,Reposition the kitchen cabinet.,None,+vocab_gap:repair,Repair the kitchen cabinet.
00023-zepmXAdrpjR/tasks-island_0.json,173,1,R4_appliance_clean,turn_on,turn_on,Turn on oven and stove.,Turn on oven and stove.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Preheat the oven and stove.
00023-zepmXAdrpjR/tasks-island_0.json,176,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00023-zepmXAdrpjR/tasks-island_0.json,183,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,196,3,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00023-zepmXAdrpjR/tasks-island_0.json,209,1,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00025-ixTj1aTMup2/tasks-island_0.json,23,4,R4_appliance_clean,turn_on,turn_on,Turn on cooker.,Turn on cooker.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Preheat the cooker.
00025-ixTj1aTMup2/tasks-island_0.json,24,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare tea with the kettle.
00025-ixTj1aTMup2/tasks-island_0.json,52,3,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00025-ixTj1aTMup2/tasks-island_0.json,58,4,R4_appliance_clean,turn_on,turn_on,Turn on the cooker.,Turn on the cooker.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the cooker.
00025-ixTj1aTMup2/tasks-island_0.json,63,2,R4_roll_flag,straighten,straighten,Straighten carpet.,Straighten carpet.,None,+vocab_gap:roll,Roll up the carpet.
00025-ixTj1aTMup2/tasks-island_0.json,107,2,R4_appliance_clean,turn_on,turn_on,Turn on the cooker.,Turn on the cooker.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the cooker.
00025-ixTj1aTMup2/tasks-island_0.json,156,3,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00025-ixTj1aTMup2/tasks-island_0.json,179,5,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare a drink with the kettle.
00031-Wo6kuutE9i7/tasks-island_0.json,14,3,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,28,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00031-Wo6kuutE9i7/tasks-island_0.json,42,5,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,46,3,R4_appliance_clean,turn_on,turn_on,Turn on the stovetop.,Turn on the stovetop.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the stovetop.
00031-Wo6kuutE9i7/tasks-island_0.json,57,5,R4_appliance_clean,turn_on,turn_on,Turn on the stovetop.,Turn on the stovetop.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the stovetop.
00031-Wo6kuutE9i7/tasks-island_0.json,59,3,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,63,1,R4_appliance_clean,turn_on,turn_on,Turn on the stovetop.,Turn on the stovetop.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the stovetop.
00031-Wo6kuutE9i7/tasks-island_0.json,70,1,R4_appliance_clean,turn_on,turn_on,Turn on the stovetop.,Turn on the stovetop.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the stovetop.
00031-Wo6kuutE9i7/tasks-island_0.json,73,5,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,79,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00031-Wo6kuutE9i7/tasks-island_0.json,91,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00031-Wo6kuutE9i7/tasks-island_0.json,91,5,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,108,3,F3_repair_REMAP,reposition,tighten,Reposition the fence.,Tighten the fence.,None,+vocab_extension_v1:repair_remap->tighten,Repair the fence.
00031-Wo6kuutE9i7/tasks-island_0.json,122,6,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00031-Wo6kuutE9i7/tasks-island_0.json,129,5,R1_light,turn_on,light,Turn on the candlestick.,Light the candlestick.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candlestick.
00033-oPj9qMxrDEa/tasks-island_0.json,150,1,R2_unload,open,unload,Open washing machine.,Unload the washing machine.,None,+vocab_extension_v1:open->unload,Unload the washing machine.
00034-6imZUJGRUq4/tasks-island_0.json,10,4,R1_light,turn_on,light,Turn on the candle holder.,Light the candle holder.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle holder.
00034-6imZUJGRUq4/tasks-island_0.json,29,1,F1_brew_inspect,inspect,start_machine,Inspect the coffee_maker.,Start the coffee_maker.,None,+vocab_extension_v1:inspect->start_machine,Use the coffee maker to brew some coffee.
00034-6imZUJGRUq4/tasks-island_0.json,34,2,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,61,4,R2_unload,open,unload,Open dishwasher.,Unload the dishwasher.,None,+vocab_extension_v1:open->unload,Unload the dishwasher.
00034-6imZUJGRUq4/tasks-island_0.json,75,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,126,3,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,134,5,R1_light,turn_on,light,Turn on the candle holder.,Light the candle holder.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle holder.
00034-6imZUJGRUq4/tasks-island_0.json,158,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,158,6,R1_light,turn_on,light,Turn on the candle holder.,Light the candle holder.,in,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candles in the candle holder.
00034-6imZUJGRUq4/tasks-island_0.json,172,1,R1_light,turn_on,light,Turn on the candle holder.,Light the candle holder.,in,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle in the candle holder.
00034-6imZUJGRUq4/tasks-island_0.json,172,2,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,in,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Start a fire in the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,206,1,R4_fireplace_soft,turn_on,turn_on,Turn on the fireplace.,Turn on the fireplace.,on,-vocab_gap:no_ignite_action; +assume_gas_fireplace,Light the fireplace.
00034-6imZUJGRUq4/tasks-island_0.json,216,2,R4_roll_flag,carry,carry,Carry the carpet.,Carry the carpet.,None,+vocab_gap:roll,Roll out the carpet.
00034-6imZUJGRUq4/tasks-island_0.json,221,4,R1_light,turn_on,light,Turn on the candle holder.,Light the candle holder.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle holder.
00034-6imZUJGRUq4/tasks-island_0.json,252,1,F1_brew_inspect,inspect,start_machine,Inspect the coffee_maker.,Start the coffee_maker.,None,+vocab_extension_v1:inspect->start_machine,Use the coffee maker to brew coffee.
00035-3XYAD64HpDr/tasks-island_1.json,2,1,R4_roll_flag,carry,carry,Carry the yoga mat.,Carry the yoga mat.,None,+vocab_gap:roll,Roll out the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,6,3,R4_appliance_clean,turn_on,turn_on,Turn on oven and stove.,Turn on oven and stove.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Pre-heat the oven and stove.
00035-3XYAD64HpDr/tasks-island_1.json,25,2,R4_roll_flag,smooth,smooth,Smooth the yoga mat.,Smooth the yoga mat.,None,+vocab_gap:roll,Roll up the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,38,4,R4_appliance_clean,turn_on,turn_on,Turn on the oven and stove to cook a warm meal.,Turn on the oven and stove to cook a warm meal.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the oven and stove to cook a warm meal.
00035-3XYAD64HpDr/tasks-island_1.json,50,1,R4_roll_flag,straighten,straighten,Straighten the yoga mat.,Straighten the yoga mat.,None,+vocab_gap:roll,Unroll the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,63,1,R4_roll_flag,carry,carry,Carry the yoga mat.,Carry the yoga mat.,None,+vocab_gap:roll,Roll out the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,74,3,R4_appliance_clean,turn_on,turn_on,Turn on the oven and stove.,Turn on the oven and stove.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the oven.
00035-3XYAD64HpDr/tasks-island_1.json,75,2,R4_roll_flag,smooth,smooth,Smooth the yoga mat.,Smooth the yoga mat.,None,+vocab_gap:roll,Roll up the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,88,2,R4_roll_flag,straighten,straighten,Straighten the yoga mat.,Straighten the yoga mat.,None,+vocab_gap:roll,Roll the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,100,1,R4_roll_flag,straighten,straighten,Straighten the yoga mat.,Straighten the yoga mat.,None,+vocab_gap:roll,Unroll the yoga mat.
00035-3XYAD64HpDr/tasks-island_1.json,108,2,R4_roll_flag,straighten,straighten,Straighten the yoga mat.,Straighten the yoga mat.,None,+vocab_gap:roll,Unroll the yoga mat.
