action,file,new,new_action,old,old_action,reason,step_id,tag,task_idx,type
turn_on,00744-1S7LAXRdDqK/tasks-island_0.json,,,,,,5,vocab_gap:no_ignite_action,35,FLAG
turn_on,00744-1S7LAXRdDqK/tasks-island_0.json,,,,,,6,vocab_gap:no_ignite_action,69,FLAG
turn_on,00744-1S7LAXRdDqK/tasks-island_0.json,,,,,,2,vocab_gap:no_ignite_action,80,FLAG
turn_on,00744-1S7LAXRdDqK/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,102,FLAG
turn_on,00744-1S7LAXRdDqK/tasks-island_0.json,,,,,,4,vocab_gap:no_ignite_action,120,FLAG
,00757-LVgQNuK8vtv/tasks-island_0.json,Rinse the a in the dishwasher.,,Rinse the dishwasher.,,patient drift: a is real patient,3,,110,FIX_B
,00757-LVgQNuK8vtv/tasks-island_0.json,Rinse the pan in the dishwasher.,,Rinse the dishwasher.,,patient drift: pan is real patient,3,,173,FIX_B
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,7,FLAG
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,5,vocab_gap:no_ignite_action,72,FLAG
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,5,vocab_gap:no_ignite_action,102,FLAG
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,119,FLAG
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,1,vocab_gap:no_ignite_action,155,FLAG
turn_on,00810-CrMo8WxCyVb/tasks-island_0.json,,,,,,4,vocab_gap:no_ignite_action,171,FLAG
,00827-BAbdmeyTvMZ/tasks-island_0.json,Rinse the dishes in the dishwasher.,,Rinse the dishwasher.,,patient drift: dishes is real patient,4,,46,FIX_B
turn_on,00873-bxsVRursffK/tasks-island_0.json,,,,,,5,vocab_gap:no_ignite_action,47,FLAG
turn_on,00873-bxsVRursffK/tasks-island_0.json,,,,,,2,vocab_gap:no_ignite_action,87,FLAG
turn_on,00873-bxsVRursffK/tasks-island_0.json,,,,,,6,vocab_gap:no_ignite_action,129,FLAG
,00891-cvZr5TUy5C5/tasks-island_0.json,Rinse the dishes in the dishwasher.,,Rinse the dishwasher.,,patient drift: dishes is real patient,1,,5,FIX_B
turn_on,00891-cvZr5TUy5C5/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,106,FLAG
turn_on,00894-HY1NcmCgn3n/tasks-island_0.json,,,,,,1,vocab_gap:no_ignite_action,3,FLAG
turn_on,00894-HY1NcmCgn3n/tasks-island_0.json,,,,,,2,vocab_gap:no_ignite_action,10,FLAG
turn_on,00894-HY1NcmCgn3n/tasks-island_0.json,,,,,,4,vocab_gap:no_ignite_action,34,FLAG
turn_on,00894-HY1NcmCgn3n/tasks-island_0.json,,,,,,4,vocab_gap:no_ignite_action,49,FLAG
,00105-xWvSkKiWQpC/tasks-island_0.json,Load items in the cabinet.,load,Store items in the cabinet.,store,,2,,146,FIX
,00366-fxbzYAGkrtm/tasks-island_0.json,Load items in the cabinet.,load,Store items in the cabinet.,store,,6,,142,FIX
,00638-iePHCSf119p/tasks-island_0.json,Load items in the cabinet.,load,Store items in the cabinet.,store,,5,,31,FIX
,00844-q5QZSEeHe5g/tasks-island_0.json,Load items in the cabinet.,load,Store items in the cabinet.,store,,5,,187,FIX
