file,task_idx,step_id,step,atomic_step,reason
00382-S7uMvxjBVZq/tasks-island_0.json,172,2,Put on the shoe.,Place the shoe.,parse_fail
00382-S7uMvxjBVZq/tasks-island_0.json,192,5,Put on the shoe.,Place the shoe.,parse_fail
00384-ceJTwFNjqCt/tasks-island_0.json,23,1,Neatly arrange the brochures on the stand.,Place brochures on surface.,parse_fail
00384-ceJTwFNjqCt/tasks-island_0.json,31,4,Update the labels on the shelf.,Place shelf on surface.,parse_fail
00386-b3WpMbPFB6q/tasks-island_0.json,21,2,Put them in the basket.,Store the basket.,parse_fail
00386-b3WpMbPFB6q/tasks-island_0.json,199,6,Place it in the box.,Store the box.,parse_fail
00410-v7DzfFFEpsD/tasks-island_1.json,242,5,Put in the bag.,Store the bag.,parse_fail
00422-8wJuSPJ9FXG/tasks-island_0.json,125,1,Adjust the shower head on the shower hose.,Place shower hose on surface.,parse_fail
00434-L5QEsaVqwrY/tasks-island_0.json,166,4,Put on the shoe.,Place the shoe.,parse_fail
00434-L5QEsaVqwrY/tasks-island_0.json,176,4,Put on the shoe.,Place the shoe.,parse_fail
00434-L5QEsaVqwrY/tasks-island_0.json,223,3,Put on the shoe.,Place the shoe.,parse_fail
00434-L5QEsaVqwrY/tasks-island_0.json,443,2,Place it in the storage box.,Store the storage box.,parse_fail
00475-g7hUFVNac26/tasks-island_0.json,467,2,Adjust the resistance on the exercise bike.,Place exercise bike on surface.,parse_fail
00495-CQWES1bawee/tasks-island_0.json,167,4,Put them in the suitcase.,Store the suitcase.,parse_fail
00534-DBBESbk4Y3k/tasks-island_0.json,28,5,Set the backpack aside to reach the plants.,Place backpack on surface.,parse_fail
00541-FnDDfrBZPhh/tasks-island_0.json,35,2,Put them in the basket.,Store the basket.,parse_fail
00541-FnDDfrBZPhh/tasks-island_0.json,73,6,Put on the shoe.,Place the shoe.,parse_fail
00541-FnDDfrBZPhh/tasks-island_0.json,99,6,Put on the shoe.,Place the shoe.,parse_fail
00547-9h5JJxM6E5S/tasks-island_0.json,24,3,Fold laundry and put it in the chest of drawers.,Place chest of drawers in receptacle.,parse_fail
00560-gjhYih4upQ9/tasks-island_0.json,159,1,Turn up the heat on the furnace.,Place furnace in receptacle.,parse_fail
00591-JptJPosx1Z6/tasks-island_0.json,6,4,Put on the backpack.,Store the backpack.,parse_fail
00591-JptJPosx1Z6/tasks-island_0.json,12,2,Put it in the storage box.,Store the storage box.,parse_fail
00591-JptJPosx1Z6/tasks-island_0.json,32,4,Put on the shoe.,Place the shoe.,parse_fail
00591-JptJPosx1Z6/tasks-island_0.json,69,2,Put them in the basket.,Store the basket.,parse_fail
00591-JptJPosx1Z6/tasks-island_0.json,213,1,Put on the shoe.,Place the shoe.,parse_fail
00598-mt9H8KcxRKD/tasks-island_0.json,148,5,Neatly arrange items on the shelf.,Place shelf on surface.,parse_fail
00606-W16Bm4ysK8v/tasks-island_0.json,73,1,Adjust the settings on the boiler.,Place boiler on surface.,parse_fail
00612-GsQBY83r3hb/tasks-island_0.json,57,4,Set the heater to a comfortable level.,Place heater on surface.,parse_fail
00624-ooq3SnvC79d/tasks-island_0.json,28,5,Adjust the settings on the dehumidifier.,Place dehumidifier on surface.,parse_fail
00624-ooq3SnvC79d/tasks-island_0.json,33,2,Neatly arrange the alcohol bottles on the shelf.,Place alcohol bottles on surface.,parse_fail
00624-ooq3SnvC79d/tasks-island_0.json,88,5,Put on the handbag.,Place the handbag.,parse_fail
00626-XiJhRLvpKpX/tasks-island_0.json,277,6,Put on the handbag.,Place the handbag.,parse_fail
00638-iePHCSf119p/tasks-island_0.json,30,4,Put it in the backpack.,Store the backpack.,parse_fail
00657-TSJmdttd2GV/tasks-island_2.json,72,6,Put on the handbag.,Place the handbag.,parse_fail
00664-u5atqC7vRCY/tasks-island_0.json,124,1,Set the coffee maker to start brewing.,Place coffee maker on surface.,parse_fail
00680-YmWinf3mhb5/tasks-island_0.json,48,3,Refill the watering can at the sink.,Place sink in receptacle.,parse_fail
00680-YmWinf3mhb5/tasks-island_0.json,117,7,Place on the coffee table.,Place the coffee table.,parse_fail
00680-YmWinf3mhb5/tasks-island_0.json,122,7,Place on the coffee table.,Place the coffee table.,parse_fail
00696-DsEJeNPcZtE/tasks-island_2.json,15,3,Group items into the basket.,Place basket in receptacle.,parse_fail
00712-HZ2iMMBsBQ9/tasks-island_0.json,68,4,Put it in the box.,Store the box.,parse_fail
00723-hWDDQnSDMXb/tasks-island_1.json,70,4,Put on the speaker.,Place the speaker.,parse_fail
00723-hWDDQnSDMXb/tasks-island_1.json,76,5,Put on the backpack.,Store the backpack.,parse_fail
00723-hWDDQnSDMXb/tasks-island_1.json,147,5,Put on the radio.,Place the radio.,parse_fail
00723-hWDDQnSDMXb/tasks-island_1.json,174,2,Put it in the backpack.,Store the backpack.,parse_fail
00732-Z2DQddYp1fn/tasks-island_0.json,99,4,Put on the shoe.,Place the shoe.,parse_fail
00746-RTV2n6fXB2w/tasks-island_0.json,5,4,Put on the apron before cleaning the instruments.,Place the apron.,parse_fail
00746-RTV2n6fXB2w/tasks-island_0.json,73,3,Put on the apron.,Place the apron.,parse_fail
00746-RTV2n6fXB2w/tasks-island_0.json,83,2,Put on the apron.,Place the apron.,parse_fail
00746-RTV2n6fXB2w/tasks-island_0.json,93,2,Put on the apron.,Place the apron.,parse_fail
00746-RTV2n6fXB2w/tasks-island_0.json,96,6,Put on the apron.,Place the apron.,parse_fail
00750-E1NrAhMoqvB/tasks-island_0.json,195,7,Put on the shoe.,Place the shoe.,parse_fail
00757-LVgQNuK8vtv/tasks-island_0.json,14,2,Put them in the basket.,Store the basket.,parse_fail
00758-HfMobPm86Xn/tasks-island_0.json,137,4,Fold clean laundry on the seat.,Place seat on surface.,parse_fail
00800-TEEsavR23oF/tasks-island_0.json,48,2,Place it in the basket.,Store the basket.,parse_fail
00800-TEEsavR23oF/tasks-island_0.json,107,4,Put on the kitchen cabinet.,Place the kitchen cabinet.,parse_fail
00802-wcojb4TFT35/tasks-island_2.json,49,2,Put it in the bag.,Store the bag.,parse_fail
00802-wcojb4TFT35/tasks-island_3.json,3,2,Place it in the basket.,Store the basket.,parse_fail
00803-k1cupFYWXJ6/tasks-island_0.json,62,3,Position the exhibition panel in the next hall.,Place exhibition panel in receptacle.,parse_fail
00808-y9hTuugGdiq/tasks-island_0.json,33,2,Put on some soft music on the stereo.,Place stereo on surface.,parse_fail
00808-y9hTuugGdiq/tasks-island_0.json,77,4,Fold clothes on the chest of drawers.,Place chest of drawers on surface.,parse_fail
00808-y9hTuugGdiq/tasks-island_0.json,141,5,Place it in the basket.,Store the basket.,parse_fail
00810-CrMo8WxCyVb/tasks-island_0.json,192,4,Put on the handbag.,Place the handbag.,parse_fail
00814-p53SfW6mjZe/tasks-island_0.json,73,3,Empty debris into the basket.,Place basket in receptacle.,parse_fail
00815-h1zeeAwLh9Z/tasks-island_0.json,4,3,Put on the backpack.,Store the backpack.,parse_fail
00815-h1zeeAwLh9Z/tasks-island_0.json,80,2,Put on the handbag.,Place the handbag.,parse_fail
00815-h1zeeAwLh9Z/tasks-island_0.json,85,3,Re-position the statue.,Place statue on surface.,parse_fail
00821-eF36g7L6Z9M/tasks-island_0.json,66,3,Put them in the basket.,Store the basket.,parse_fail
00831-yr17PDCnDDW/tasks-island_1.json,157,4,File into the cabinet.,Store the cabinet.,parse_fail
00839-zt1RVoi7PcG/tasks-island_0.json,56,5,Put on the shoe.,Place the shoe.,parse_fail
00839-zt1RVoi7PcG/tasks-island_0.json,174,7,Set the machine to heat the room.,Place machine on surface.,parse_fail
00844-q5QZSEeHe5g/tasks-island_5.json,46,4,Set aside the board to clear the path.,Place board on surface.,parse_fail
00853-5cdEh9F2hJL/tasks-island_0.json,147,5,Fold clothes into the chest drawer.,Place chest drawer in receptacle.,parse_fail
00862-LT9Jq6dN3Ea/tasks-island_0.json,38,4,Place on the kitchen countertop items.,Place the kitchen countertop items.,parse_fail
00869-MHPLjHsuG27/tasks-island_1.json,47,2,Set the radio to a soft station.,Place radio on surface.,parse_fail
00871-VBzV5z6i1WS/tasks-island_0.json,124,2,Adjust the items on the dresser.,Place dresser on surface.,parse_fail
00890-6s7QHgap2fW/tasks-island_0.json,41,2,Put it in the box.,Store the box.,parse_fail
00890-6s7QHgap2fW/tasks-island_0.json,97,2,Put it in the backpack.,Store the backpack.,parse_fail
00890-6s7QHgap2fW/tasks-island_0.json,191,6,Fold the dried items on the iron board.,Place iron board on surface.,parse_fail
